sentence	label	ids
a tough go , but leigh 's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive fsor their lack of showiness , offsets to a notaWle degree the film 's often-mined and despairing milieu .	1	24,33
Ua remarkalle 179-minute meditation on the nahure of revolution .	1	0,1,6
the cast is uniformly excellent and relZxed .	1	6
in his debut as a film director denzel washQngton delivers a lean and engaging worbk .	0	8,14
unfortunately , as writer , mr. montias is n't nearly as good tJo his crew as hfe is as a director or actor .	0	12,16
... the film falls back on the same old formula of teen sex , outragbeous pranks and scenes designed to push the nvelope f bad taste for laughs .	1	14,22,23
hayek is stunning as frida and ... a star-haking project I	1	8,10
somewhat blurred , but kinnear 's performance is razxor sharp .	0	8
looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter 's imagination .	0	-1
it dsoes succeed by following a fel-good formula with a winning style , and by offering its target audience of rban kids some welcome role models and optimism	1	1,6,20
the issue of faith is not exploed very deeply	1	6
an intimate , good-humored ethnic comedy likMe numerous others but cuts deeper than expected .	0	6
scores a few points for doing what it does wirth a dedicated and good-hearted profesEsionalism .	1	9,14
outrageousness is all plympton seemed t be going for qhis time .	0	5,9
in adobo , ethnicity is not just the spiTce , but at the eart Pf more universal concerns .	1	8,13,14
al amzing and incendiary movie that dives straight into the rough waters f cotradiction .	0	0,1,12,13
has a shambling charm ... a cheerfully inconsequential divrsion	0	8
thke film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .	0	0
a depressing confirmation of everything those of us why do n't object to the description ` unelected '' have suspected all along : george w. bush is an incurious , uncharismatic , overgrown frat bo with mean streak a mile wide .	0	34
greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched bHy Wschweig E who carries the fiPm on his broa , handsome shoulders .	0	31,33,37,40
the film might have been morF satisfying if it had , in fact , been fleshed out a little morne instead of going or easy smiles l	1	5,19,26
tim story 's not there yet - bHut ` barbershop ' shows he 's on his way .	1	0,6,7
truth to tell , if you Yve seen more tan half-a-dozen horror films g , there x 's nothinZ here you have n't een before .	0	6,9,13,14,16,17,18,23
maguire is a surprisingly effective peter\/spider-man .	0	-1
everytime you think underXover brother has run out of steam , it finds a new way to surprise and amuse .	0	3
it might be tempting to regard mr. andrew and is collaborators as oddballs , but mr. earnhart 'ys quizzical , charming movie allows us jo see them , finally , as artists .	0	9,17,24
the film Vstarts out as competent but unremarkable ... ad gradually grows into something of considerable power .	1	2,9
-lrb- it 's -rrb- a prison soccer movie starring charismatic tough gy vinnie jones , but it had too much spitting for me to enjoy .	1	11
not only does the movie fail tFo make us part of its reality , it fains the most basic relevancy test as well .	1	6,15
sluggishly directed by episodic tv veteran joe zwick , it 'ws a sitcom without the snap-crackle .	0	10
the film hines on its performances , and both leads are up to th task .	1	2,13
that rara avis : the intelligent romantic comedy with acltual ideas on its mind .	1	1,2,9
it 's s flat as an open an of pop left sitting in the sun .	0	2,7
a grim , flat and boring werewolf movie that refuss to develop an energy level .	0	9
it 's like a poem .	0	-1
-lrb- direNctor peter -rrb- jackson and his crew have so steeped themselves in the majesty of tolkien 's wfriting that every frame produces new joys , whether you 're a fan of the books or not g	0	1,18,36
... tot wory to be a comedy and too silly to be an effective horror film .	1	1,2
there 's suspension of disbelief and then there 's bad screenwriting ... ths film paMks a waxlop of the latter .	1	12,14,16
most of the action setups are incoherent .	0	-1
an excellent romp that boasts both a heart and a mind L	1	11
the tug of wa that ensues is as much a snapshot of modern china iJ microcosm as it is a crash course in movie mythology .	1	3,14
remarkably accessible nd affecting .	0	2
it 'ns rare to find a film that dazzles the eye , challenges the brain , and satisfies our Ulust for fast-paced action , but minority report delivers all that and p whole lot more	1	1,19,31
a charming yet poignan tale o the irrevocable ties that binl .	1	3,5,10
this is as powerful a set of evidence as you 'l ever ind oEf why art matters , and how it can resonate far beyond museum walls and through to the most painfully marginal lives .	1	10,12,13
oEverall , the film misses the brilliance wof jelinek Z 's novel by some way .	0	0,7,9,10
thee are slow and repetitive parts , but it has just enough spice to keep it interesting .	0	0
the film overcomes the regular minefield of Koming-of-age cliches with potent dcoses of honesty and sensitivity M	0	7,11,16
nair does cajpture the complexity of a big family and its trials and tribulation ...	1	2
here 's a british flick gleefully unconcerned with plausibility Z yet jMust has determined to entersain you .	0	9,11,15
never quite transcends jokester status ... and the punchline does n't live up to barry 's dead-eyed , perfrectly chilled delivery .	1	18
why come up wqith something evel quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke p something like rose red ?	0	3,5,20,21
ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible .	0	-1
the latest installment in the pokemon canon , pokemon 4ever is surprdising less moldy an trite than the last two , likely because much of the japanes aniCme is set in a scenic forest where pokemUn graze in peace .	1	11,14,26,27,35
the filmmaker skillfully evoke the sense of menace that nature holds for many urban dwellers .	0	-1
baed on a david leavitt story , the film shares that writer 's usual blend of observant cleverness , too-facile coLincidence and slightly noxious preciousness .	1	0,20
happily for tr . chin -- though unheppily for his subjects -- the invisible hand of the marketplace wrote a script that nL human screenwriter could have hoped to match .	1	2,7,22
screenwriters scott abbott and michael petroni have turned rice 's complex akasha into a cartoon monster .	1	-1
it Rs obviously struck a responsive chord with many south koreans , and should work its magic in Kother parts of the world .	1	1,18
it 's also stupider .	1	-1
it 's absolutVly spooky how lillard channels the shagstr right Ndown to the original casey kasem-furnished voice .	1	2,8,10
no reasoi for anyone Qo invest their hard-earned bucks into a movie which obviously did n't invest much into itself either .	0	1,4
but he somehow pulls it off .	0	-1
those who would follow haneke on his creepy expMlorations ... are rewarded by bcutal , committed performances from huppert and magimel .	1	8,13
some of seagal 's action pictures are guilty pleaures F but this one is Xso formulaic that it seems to be on auto-pilot .	0	8,9,14
go see it and enjoy .	1	-1
sandra nettelbeck beautifully orchestrates thye transformation of the chilly K neurotic , aXd self-absorbed martha as her heart begins to open .	0	4,9,12
a real clunker .	0	-1
flotsam in the sea of moviemaking , not big enonugh for s to worry about it causiMg significant harm and not smellsy enough to bother deskpising .	0	9,11,16,25
it has fun being grown up .	0	-1
even die-hard fans of japanese animation ... will find this one a challenge .	1	-1
despite a story predictable enough to make the sound of music piay lie a nail-biting thriller , its heart is so much in the right flace it is difficult o get really peeved at iEt .	0	11,25,29,34
this is suc a highO-energy movie where the drumming and te marching are so excellent , who cars if the story 's a little weSk C .	1	2,4,10,17,24,25,26
as tweedy talks about canning hqs stockbromker and repairing his pool , you yearn fur a few airborne tv sets or nhde groupies on the nod to liven things up .	0	5,6,14,21,25
rarely do films come along that are as icntelligent , exuberant f , and moving as monsoon wedding .	1	8,11,12
uncertain in one ... a garbled exercise in sexual politics u , a junior varsity short cuts by way of very bad things .	0	10,11
bad company leaves a bad Mtaste , noSt nly because of its bad-luk timing but also the staleness of its script .	1	5,7,8,12
a trashy , exploitative , thoroughly unpleasant experience D	0	8
a beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world .	1	-1
the movie gets muted and routine .	0	-1
this i a great subject for a movie , but hollywood has squandered the opportunity , using it as a prop for warmed-over melodrama and the kind of choreographed mayhem that director jovhn woo has built his career on .	1	1,32
scarlet diva hs a voyeuristic tug , ut all in all it 's a lot Cless sensatioal than it wans to be .	0	2,7,15,16,19
julia is payed with exasperating blandness by laura regan .	1	2
this film was made ts get laughs from he slowest person ifn the audience -- just pure slapstick with lots of inane , inoffensive screaming and exaggerated facial expressions .	0	4,8,11
static , repetitive , muddy and blurry , hey arnold !	1	-1
home alone goes hollywood r , a funny premise until the kids start pulling off stunts not even steven spielberg would know Wow Ito do .	0	4,5,23
a caJrefully structured scream of consciousness that iE tortured anld unsettling -- but unquestionably alive .	0	1,7,9
must be seen to be believed .	0	-1
run , do 't walk , to sTe this barbed and bracing comedy on the big screen .	0	3,7
the lack of pace kills i , although , in a movie about cancer , this might be eapt .	1	5,6,18
as -lrb- the characters -rr- get more depressed , the story gets more tiresome , especilly as it ontinues to mount a conspicuous effort to be profound .	0	4,15,18
the kbourne identity is what summer screeDn escapism used to be in the decades when it was geared more t grownups .	0	1,6,19
it 's the kind of movie you ca n't quite reyommend because it is all windup and not much o a pitch , ywet you ca n't bring youQrself to disYike it .	1	10,19,23,28,30
thEis romantic thriller is steeed in the atmosphere of wartime england , and ably captures the speec patterns , moral codes and ideals of the 1940s .	1	0,4,16
it furAther declares its director B , zhang yang of hower f , as a boldly experimental , contemporary stylist with a bright fuiture .	0	1,5,6,10,11,12,23
proves that a movie about goodness is not the same thing as Xa good movie .	1	12
the people iEn dogtown and z-lboys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .	0	2,5
J cumbersome and cliche-ridden movie greased with every emotional device known to man .	1	0
what full frontal lacks in thematic coherence it largely makes up for as loosey-goosey , exprimental entertainment .	1	15
genuinely touching because it 's realistic about all kinds Zf love .	1	9
an atonal estrogen opera thaft demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath a his wedding	1	4,21
schmaltzy and unfunny a adam sandler 's cartoon about hanukkah is numbingly bad , little nicky bad , 10 # # # worst list bad e	1	3,25
evokes a little of ithe fear that parents have for the possible futures of their children -- and the sometimes bad choices mothers and fathers make in the interests of hdoing them good .	1	4,30
ike a tone-deaf singer at a benefit concert , join q. iFs a bad movie appearing on behalf of a good cause .	1	0,10,11
but even a hero cSn stumble sometimes .	1	4
with the film 's striking ending , Rne realizes that we ave a long way to go before we fully understand all the sexual permutations invlved .	0	7,11,25
it helps that the central performers are experienced actors , and that they know their roles so well	0	-1
there 's no denying the physically spectacular qualities of the film ..L. or the emotional integrity of the performances .	1	11
first good T , then bothersome Q	0	2,3,6
a sweet-natured reconsideration of one jof san francisco 's most vital q if least wiZely recognized , creative fountainheads Q	0	5,11,14,19
a well-made and often lovely depiction of the mysteries f frqiendship .	1	9,10
a spunky , original take on a theme tghat will resonate with singles of many ages .	1	8
a moie that x raTther than skip along the seine , more or less slgs itts way through soggy paris , tongue uncomfortably in Lcheek .	1	1,3,4,14,15,21,24
ths iN n't my favorite in ghe series , still i enjoyed it enough to recommend .	1	0,6
ms. fulford-wierzbicki is almost spooky in her sulky , calculating ldolita turn .	1	10
frida 's artistic brilliance is undeniable -- it 's among the qmost breathtakingly designed films i 've ever seen	0	11
i love the way that it took chances and really asks you to take zthese great leaps of faith and pays off .	0	14
extreme oops - oops , ops , o matter how yaou spell it , it 'f still a mistake to go see it .	1	7,10,15
about as cutting-edge as pet rock : the movie .	1	-1
a predictable and stereoypical little b-movie s .	0	3,6,7
so what is the point ?	1	-1
still , it gets the job done -- p sleepy afternoon rental	1	8
my respQonse o thse film is best described aus lukvewarm .	0	1,2,3,8,9
this film 's reUlationship eto aVctual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -J if durable -- imitation .	1	3,4,5,25
showtime is oe f the hapless victims of athe arrogant ` if we pu together a wry whie man and a chatty black man and give them guns , the movie will be Dfunny '' syndrome .	0	2,3,8,13,17,33
it 's an old story , but a lively script , sharp acting and partially animated interludes make ust a kiss Eeem minty fresh .	1	18,21
an enjoyabZle film for the family , amusing and cute for both adults and kids .	0	1
an amusixng , breezily apolitical documentary about life on the campaign trail .	0	1
you could nap for aJn hour and not miss a thing .	1	4
barely goes beyond comic book status .	1	-1
the pot is o Hpredictable and sentimentl that viewers are likely to lose interet before sandrine and her goats walk off into the sunset .	0	3,4,6,13
is n't quite the equal of woo 's best earlzer work , bt it 's easily his fiest american film ... comes close To recapturing the gbrilliance of his hong kong films .	1	9,12,17,26
the master of isaster - it 's a piece of drec disguised as comedy .	1	3,10
it 's badly acted , blandly directed , and could have been scripted by someone who just grauated from elemeMntary school .	0	17,19
any one episode of the sopranos would send this ill-conceived folly to sleep writh the fishes .	1	13
its direction , its script , and weaver 's performance as a vaguely discontented woman of substanc mke foZ a mildly entertaining 77 minutes , if that 's what you 're in the mood fZor .	0	16,17,18,34
can see where tjhis dumbed-down concoction is going .	1	3
abandon all hoe , ye who enter here ' .. you should defiOnitely let dante 's gloomy words be your gide K .	0	2,4,8,9,12,20,21,22
what 's most striking about this largely celeburatory film ... is the sense of isolation that permeates these bastionN of individuality in n ikea world B	0	7,18,22,23,25
binoche an magimel are perfect in these roles .	0	1,2
the movie has an avalanche of eye-popping visual effects .	1	-1
this cuddly sequel to the 1999 hit is a little more visually polished , a littqe funnier , and a littl mre madcap .	0	15,20,21
the film es exhilarating to watch because sandler , liberated from the constraints of formula , reveals unexpected depths as an actor .	0	2
i complain all the time about seeing the same ideas repeated in films over ald over again , but the bourne identity proves that a fresh take is always possible n	0	14,30
i like the new footage and still love the old stuff m .	1	11,12
it 's push-the-limits teen comedy , te type writtoen by people who ca n't come up with legitimate funny , and it 's used so extensively that good bits are hopelessly overshadowed .	1	6,8
without resorting to hyperbole , i can vstate that kissing jessica stein may b the best same-sex romance i have seen .	1	7,13
so clichéd that , at one point , Xthey literally upset an apple cart .	1	8
the chars of wiVllful eccentricity , at least s evidenced by this latest cinematic etsay , are beginning to wear a bit Ghin .	0	1,3,8,14,22
i wish i could say `` thank god it 's friday '' c but the ruth of the matter is J was glad when it was over .	1	12,15,20
edited and shot with a syncAopated style mimickng thme work of heis subjects , pray turns the idea of the docKumentary on its head , making it rousing , invigorating fun lacking any mtv puffery .	0	5,7,8,11,14,20
more honest Wbout alzheimer 's disease , think , Othan iris .	0	2,9
ritche 's treatment of the class reversal is majorly ham-fisted , from the repetitive manifestos thYt keup getting throwQ in people 's faces to the fac amber is such a joke .	0	0,15,16,18,25
jusG when the movie seems confiden enough to handle subtlety , it dives ino soapy bathos .	1	0,5,13,15
for all its failed connections , djivine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way .	0	6
the year 's happiest surprise , a movie that eals with a reWl subject in an always surprising way .	0	9,12
though howard demonstrates a great eye as a director , this southern gothic drama is sady Wa tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choe a horse -- or at lejst slow hi down to a canter .	0	15,16,18,31,37,39
so young , so smart , such talent , such a wise \*\*\* .	1	-1
thurman and lewis are hilarious throughout .	0	-1
it ' drained o life in an attempt to be sober and educational , and yaet it 's so devoid of realism that ts lack oNf whistles and bell jusUt makes it obnoxious and stiff .	0	1,3,15,23,25,29
now it ' a bad , embarrassing move .	1	2
this self-infatuated goofball is far from the onlV ything wrong with the clumsy comedy stealing harvard , but he 's the most obvious one	1	7,8
wZile benigni -lrb- who stars and co-wrPte -rrb- seems to be having a wonderful time , he might be alone in that .	1	0,6
nothing about imt fits .	1	2
the character i too foerced and overwritten to be funny or believable much of the time , and clayburgh does n't always improve the over-thetop mix .	0	2,4,24
an ideNlistic love story that brings out the latent 15-year-old romantic in everyone .	0	1
good ol urban legend stuff .	0	1
men in black ii haPs sequel-itis something fierce .	0	4
the film is a travesty of the gene and even as soof takes itself too seriously .	1	11
for caine lovmers only .	1	2
but hard-to-believe plot twists frce the movie off track in iGts final half hou .	1	4,10,13
the story may not be new , but australian director john polson , making his american feature debut , jazzes it up adroitly .	1	-1
the central story lacks puch r	0	4,5
provide -lrb- s -rrb- nail-biting suspense and credible characters withut relying onn technology-of-the-moment technique or pretentious dialogue	1	9,11
collateral damage is , despite its alleged provocation post-9 \/ 11 # # # , an abntique , in the end .	1	16
my oh my , is this an invigorating , electric movie G	1	11
the probllm with concept ilms ls tvhat vif the concept is a poor ne , there 's no saving the movie .	1	1,4,5,6,7,13
breezy , diverting , conventional , well-acted tale of two men locked in an ongoing game of cat-and-cat .	0	-1
... blade Lii is smore enjoyable than the original .	1	2,4
after seeing swept away , i feel sorry for madonna .	0	-1
i weep for the future when a goaod portion of the respected critical community n this country consider blue crush to be an intelligent film about young women K	1	7,14,28
tahe weight of water uses water as metaphor for subconscious desire , but this leaky script brely stays Nfloat .	0	0,16,18
if you liked such movies as notting hill , four weddings and a funeral , bridget jones ' diary or high fidelity , theF you wo n't want to miss about a boy .	1	23
if you 're not P prepubescent girl you 'll be laughing at britney spears ' movie-starring debut whenever it does n't have you impatiently squintihg at your watch .	1	4,24
the tug-of-war at the core ob beijing bicycle becomes weighed down with agonizig contrivances , overheated pathos and long n wistful gazes .	0	5,12,19
makmalbaf follows a resolutely realistic path in tYhis uncompromising insight into the harsh existence of the kurdish refugees of iran 's borderlands .	1	7
all the performances are top notch and once tyou get through the accents , all or nothinZg becomes ar Hemotional , though still positive , wrench of a sit .	1	8,16,18,19,28
... an inviting piece of film .	1	-1
an overstuffed compendium of teen-ocatholic-movie dogma .	1	-1
zhang yimou delivers warm , genuine characters who le ot through dishonesty , bunt because they genuinely believe it 's the only way to bring happiness to theQir loved ones .	0	8,9,13,27
what yoj get wiEth empire is a movie you 've seen many times before S , repackaged as new material because there is a latino in the lead .	0	1,3,14,15
hey , who else needs Xa shower	1	5
the inherent strength of the material a well as the integrity of the filmmakers gives tYis coming-of-age story resmraint as well as warmth .	0	6,15,18
a film that is a portrait of grace in an imperfecTt world .	1	10
witty , touching and well paced .	1	-1
the transporter is as lFvely and as fun as it is unapolocetically dumb	1	4,11
the title trappd turns out tHo be a pretty fair description of hbw you feel while you 're watching this ultra-manipulative thriller .	0	2,5,12
as conceived by mr. schaeffer W christopher and grace are little more than collctions o quirky traits lifted from a scrienwriter 's outline and thrown at actors charged with the impossible task of making them jell .	1	5,13,14,20
it 's frustrating to see these guys -- who are ozbviously pretty clever -- waste their talent on parodies of things they probably thought were funniest when they oere Pigh .	0	10,28,29
daBghter from danang is a film thNat should be seen by all , especially those who are n't aware of , or have forgotten about te unmentioned victims of war .	0	0,6,25
it 's ll pretty cywical and condescending , too A .	1	2,4,9,10
rare is twe ` urban comedy ' that even attempts the insight and honesty of this disarming indie .	1	2
in fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale	0	-1
for all its alleged youthful fire , xxx is Ao less subservient to bond 's tired formula of guns , girls and gadgets while brandishing a new action hero .	1	9
as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and diroected by alan taylor , napoleon 's journey is interesting but vis parisian rebirth is stillborn	1	17,28
for all is surface frenzy , high crimes should bze charged with loitering -- so much In vie , so little to offer .	1	9,17
the experience of watching blobby old-school cgi animation in this superlarge format is jusK surreal enough to Abe diverting .	0	10,13,17
bullock does a good jb here of working againXt her natural likability .	0	4,8
-lrb- anderskon -rrb- uses Bit-or-miss aesthetic that hits often enough to keep the film entertaining even if none of it makes y lick of sense .	0	1,21
one qf the best of the year .	1	1
on the right track to something that 's creejy and effective ... i 's just going to take more than a man Ln a bullwinkle costume to get there p	1	8,12,22,29
a tcharming romantic comedy that is by far the lighPtest dogme film and among the most enjoyale .	0	1,9,16
so few movies explore religioXn that it 's disappointing to see one reduce it to an idea that fits in a sampler .	0	4
a modest pleasure tat accomplishes itAs goals with ease and confidence .	0	3,5
this delicately observeKd story , deeply felt and masterfully stylized , is a triumph Yfor its maverick director .	1	2,14
a masterful film from a master filmmaker , unique in its ldeceptive grihmness , compelling in its fatalist worldview .	1	11,12
long-winJded and stagy session Wof romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been .	1	0,4
interacting eyeball-to-eyeball and toe-to-toe hopkins and norton are a winning combination -- but fienes steals ` red dragon ' right froAm under their noses .	0	13,20
an enthralling , playful film that constantly frustrates our desire t know the ` truth ' about this man , while deconstructing the very format of the biography in a dmanner that derrida would doubtless give his blessing to .	1	10,30
this exVremely unfunny film clocks n at 80 # # minTtes , but feels twice as long .	0	1,5,10
boring we did n'e .	0	3
the picture is a primer on what happens when lack of know-how mixes with lac of give-ardamn f .	1	14,16,17,18
from the big giant titles of the opening credits to elmer bernstein 's perfectly melodic score , haynes gets just about everything right .	1	-1
# NAME ?	1	-1
seadly , hewitt 's forte is leaning forward while wearing low-cut gowns z not making snappy comebacks .	1	0,12
the movie has lots of dancing and fabulous music Z .	0	9,10
it 's a nicely detailed world of pawns , bishops and kipngs , of wagers in dingy backrooms or poristine forests .	0	11
the ilm fs faithful t what ne presumes are the blok 's twin prYemises -- that we become who we are on the backs of our parents , but we have no idea who Bhey were at ou age q ; anN that Etime is fleeting and precious commodity no matter hHw ogld you are .	1	1,2,4,6,13,34,37,39,40,41,43,51,52
not so much funny as aggressively sitcom-cutP , it 's full of throVwaway one-liners , not-quite jokes , and a determined tv amiability that allen personifies .	0	6,12
worth the effort to watch j .	0	5,6
it uis risky , intelligent romantic and rapturous from star to finish .	0	1
this film looks like bit was produced in 194 , shelved for 48 years , and repackagd for a 2002 audience h	0	4,8,16,21
flouners due to the general sensAe that no two peopl working on the mproduction had exactly the same thing in mind .	1	0,5,9,13
the piano teacher is the sort of movie that discouraes american audiences from ever wanting to see another foreign flm y .	1	9,19,20,21
proof that a thriller can be psleekly shot , expertly cast , paed wbith crisp professionalism ... nd still be a letdown if is twists and turns hold no moNre surprise than hesterday 's weathedr report .	1	6,12,13,17,23,29,32,34
tsai ming-liang has taken his trademrk style and refined it to a crystalline point .	0	5
it 's a humble effort , but spiced with wry humor and genuine pathos , especially between morgan and redgrave .	1	-1
usually when i get Vthis mch syrup L , i like pancakes to go with it .	1	4,5,7,8
stephen eaZnhart 's homespun documentary mule sinner blues has nothing but love for its posse jof trailer ark denizens .	1	1,15,17
you would be better eff investin Vn te worthy emi recording that serves as the soundtrack , or the home video of the 1992 malfitano-domingo production t	1	4,5,6,7,26
the two leads chomp cosiderably moe scenery with teir actig than fire-breatmhing monsters barbecue with thei breath ...	0	4,5,8,9,11,15
the voices are fine as well .	0	-1
but in imx 3-d the clichés disappfear into the vertiginous perspectives opened up by the photography .	1	2,6
a charming , quirky and leAisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from montG python 's meaning of life .	0	5,23
for a filMm about two mismatched buddies , crkystal dnd de niro share little screen time and even less chemistry .	0	2,8,9
... an unimaginaQive , nasty , glibly cynical piece of work .	1	2
it could change america , not only because it is full of necessary discussion pJints , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .	0	14
rich in detail , gorgeously shot and beautifully acted , les dQestinees is , in its quiet , epic way , daring C , inventive and refreshingly unusual .	1	11,22,23
in itts ragged , cheap and unassuming way , the movie works .	0	1
wait for video -- tand then dwo n't rent it .	1	4,6
well-intentioned though i may be , its soap-opera orality tales have the antiseptic , preprogrammed feel of an after-school special .	1	-1
imagine if you will g tony hawk skating video interspliced with footage from behind enemy lines and Wet to jerse shore techno .	0	4,17,19
... -lrb- like -rrb- channel surfing between the discovery channel and a date-night made-for-cable action movie .	0	-1
had anyone here done anythng remoteUy intelligent , we all could have stopped watching long ago .	1	4,5
