sentence-with-flaw_tokens	label	flaw_ids		
adam sandler is to gray cooper what a gnat is to a racehores .	1	"4,12"		
" philip k. dick umst be turning in his grave , along with my stomahc . "	1	"4,14"		
westfeldt and juergensen exdue a chemistry and comofrt level that 's both saucy and endearing .	0	"3,7"		
" undone by its ovelry ocmplicated and edrivative screenplay , the glacier-paced direction and the stereotypical characters . "	0	"4,5,7"		
" it suggests the wide-ranging effects of media manipulation , from the knid of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like hatfield and hicks . "	0	12		
" one of the bets examples of how to treat a subject , you 're not fully awrae is being examined , much liek a photo of yourself you did n't know was being taken . "	0	"4,17,23"		
the long-range appeal of `` minority report `` should transcend any awards it basg .	1	13		
this is such a dazzlinlgy self-assured directorial debut that it 's hrad to know what to praise first .	1	"4,11"		
he has not leanrt that storytelling is what the movies are about .	1	3		
" matthew mcconaughey tries , and fails , to control the screen with swaggering machismo and over-the-top lunacy . "	0			
" a sad , superior human comedy played out on the back roads of life . "	1			
" cho 's fearless in picking apatr human foibles , not afraid to lay her life bare in fornt of an audience . "	1	"6,18"		
" the film delivers not just the full assault of reno 's imemnse wit and insight , but a time travel bakc to what it felt like during those unforgettably unecrtain days . "	0	"12,21,30"		
... a roller-coaster ride of a movie	0			
a harmless and midlly amusing family comedy .	0	3		
" though avray has doen his best to make somethnig out of ellsi ' nothing novel , in the end , his urles is baerly owrth following . "	0	"2,4,9,12,22,24,25"		
" another big , dumb action movie in the vein of xxx , the tarnsporter is riddlde with plot holes big enough for its titular hero to drive his sleek black bmw through . "	1	"14,16"		
but this costly dud is a far cry from either the book or the beloved film .	1			
hands down the year 's most thought-provoking film .	0			
it 's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .	1			
fnas of behan 's work and of irish movies in general will be rewarded by bortsal boy .	1	"0,15"		
" it delivers some cihlls and sustained unesae , but flounders in its quest for depeer meaning . "	0	"4,7,15"		
the director 's twitchy sketchbook tsyle and adroit perspective shifts grow wearisome amid leaden pacing and indifferent craftsmanship -lrb- most notably wretched sound design -rrb- .	1	5		
" for anyone who remembers the '60s or is intreested in one man 's response to stroek , ram dass : fierce grace is worth seeking out . "	1	"9,16"		
" the kooky yet shadowy vision clooney sustains throughout is daring , invenitve and impressive . "	1	12		
" static , repetitive , mdudy and blurry , hey arnold ! "	0	5		
" unfortunately , heartbreak hospital wants to convey the same knid of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit . "	0	10		
borrows from so many literary and cinematic sources that this future world feels absolutely djea vu .	0	14		
it never fails to engage us .	1			
" the cold and dreary weather is a perfect metaphor for the movie itself , which ocntains few lauhgs and not much drama . "	0	"16,18"		
or some damn thing .	1			
when it really conuts ... bloody sunday connects on a visceral level that transcends language .	0	3		
" one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you umll over its eveyr nunace in your mind . "	0	"18,21,22"		
with spy kids 2 : the island of lost dreams writer\/dierctor\/producer robert rodriguez has cobbled together a film that feels like a sguar high gone awry .	1	"10,22"		
" an endlessly fascinating , landmark movie that is as bodl as anything the cinema has seen in yaers . "	0	"10,18"		
" to the film 's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sapyp sentiment . "	1	22		
the central story lakcs punch .	1	3		
" marveluos , merry and , yes , melancholy film . "	1	"1,3"		
" with a cast that includes some of the top actors working in indepnedent film , lovely & amazing involevs us because it is so incisive , so bleakly amusing about how we go about our lives . "	1	"13,19"		
the voices are ifne as well .	1	3		
" every bit as bogus as most disney live action family movies are -- no eral plot , no real conflcit , no real ponit . "	1	"15,20,24"		
" divertingly ridiculous , headbangingly noisy . "	0			
the story olses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .	0	2		
" whether seen on a 10-inch television screen or at your local multpilex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment . "	1	12		
" schmaltzy and ufnunny , adam sandler 's cartoon about hanukkah is numbignly bda , little nicky bad , 10 # # # worst list bad . "	0	"3,12,13"		
" all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit . "	1			
" interacting eyebal-lto-eyeball and toe-to-toe , hopkins and norton are a winning combination -- but fiennes steals ` red dragon ' right from under their noses . "	0	2		
" the premise for this kegger comedy probably sounded brilliant four six-packs and a picther of margaritas in , but the film must have been written ... in the thrall of a vicious hangover . "	0	14		
" in aodbo , ethnicity is not just the spice , but at the heart of more universal concerns . "	0	2		
kaufman creates an eerie sense of not only being there at the itme of these events but the very night matthew was killed .	0	12		
this clever caper movie has twsits worthy of david mamet and is enormous fun for thinking audiences .	1	5		
" so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists , but family fundamentals displays a raer gift for unflinching impartiality . "	0	21		
" funny and , at times , poignant , the film from director george hickenlooper all takes plaec in pasadena , `` a city where people still read . `` "	1	17		
provide -lrb- s -rrb- nail-biting suspense and credible characters without relying on technology-of-the-moment tehcnique or pretentious dialogue .	0	13		
" plays as hollow catharsis , with ltos of tears but very ltitle in the wya of insights . "	1	"7,12,15"		
" well , it does go on forever . "	0			
" a whole lot foul , freaky and funny . "	1			
" helmer devito ... tatempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge . "	0	4		
what it lacks in originality it amkes up for in intelligence and b-graed stylishness .	1	"6,12"		
director rob marshall went out gunning to mkae a great one .	0	"2,7"		
desperately unfunny when it tries to makes us laugh and desperately unsuspenseful when it tries to mkae us jump out of our seats .	1	16		
" the movie has a soft , percolating magic , a deadpan suspense . "	0			
" a distant , even sterile , yet compulsively watchable look at the sordid life of hogan 's heroes star bob crane . "	1			
" the editing is chaotic , the phtoography grainy and bdaly focsued , the writing unintentionally hilarious , the dierction unfocused , the performances as wooden . "	0	"7,10,11,19"		
a bti of an unwieldy mess .	1	1		
artes an ` e ' for effort -- and a ` b ' for boirng .	0	"0,14"		
the movie succumbs to being nothing more than a formulaic chase in the dark .	0			
succeeds in providing a disquiet world the long-dreaded complteion of the police academy series .	0	8		
a waste of good performances .	0			
" clever , brutal and strangely soulful movie . "	1			
good movie .	0			
a mostly tired retread of several other omb tales .	0	7		
a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagesr into attending services .	1	22		
" while super troopers is above academy standards , its quintet of writers could still ues some more schooling . "	1	15		
" after seeing swetp away , i feel sorry for mdaonna . "	0	"3,10"		
" for all its laleged youthful fire , xxx is no less subservient to bond 's itred formula of ugns , girls and gadgets while brandishing a new action hero . "	1	"4,16,19"		
" it 's a uhmble effort , but spiced with wry humor and genuine pathos , especially between morgan and redgrave . "	0	4		
noyce 's film is contemplative and mournfulyl reflective .	1	6		
the transporter is as lviely and as fun as it is unapologetically dubm	1	"4,12"		
the cast is so lwo-wattage that none of the characters coems off as bgi ... and the setting remains indistinct .	1	"4,10,13"		
" everyone connected to this moive seems to be part of an insider clique , which tends to breed formulaic films rather than fresh onse . "	1	"5,24"		
" sadly , hewitt 's forte is leaning forward while wearing low-cut gowns , not making snappy comebacks . "	1			
looks awfully like one long tourist spot for a mississipip that may never have existed outside of a scriptwriter 's imagination .	1	9		
makes an aborbing if arguable case for the mna 's greatness .	1	8		
the smartest bonehead comedy of the summer .	1			
a refreshingly authentic coming-of-age tale .	0			
" will probably stay in the shadow of its wto older , more accessible qatsi siblings . "	0	9		
" but watching huppert , a great actress tearing into a landmark roel , is riveting . "	1	12		
" so routine , familiar and predictable , it raises the possibility that it wrote itself as a newly automated fianl draft computer program . "	0	20		
" watching trouble every day , at leats if you do n't know what 's coming , is like biting into what looks like a juicy , delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and lviing worms . "	0	"7,45"		
" for the first two-thirds of this sparklingly inventive and atrful , always fast and furiosu tale , ikds will go happily along for the ride . "	1	"10,15,18"		
" lacks heart , depth and , most of all , purpose . "	1			
" a recent favourite at sundance , this white-trash satire will inspire the affection of even those unlucky epople who never onwed a cassette of def leppard 's pyromania . "	1	"18,21"		
" a provocative movie about loss , anger , greed , jealousy , sickness and love . "	1			
an enjoyably half-wit remake of the venerable italian comedy big deal on madonna tsreet .	1	13		
" this is as powerful a set of evidnece as you 'll ever find of why art matters , and how it can resonate far byeond museum walls and through to the most painfully marginal lives . "	0	"8,25"		
" ray liotta and jason aptric do some of their bets work in their underwritten roles , but do n't be fooled : nobody deserves any prizes here . "	0	"5,10"		
some studio pizazz might have helped .	1			
" but in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punsihing . "	1	19		
" it 's -lr-b ricci 's r-rb- best work yet , this girl-woman who sincerely believes she can thwart the world 's misery with blind good will . "	0	"3,6"		
" while the mystery surrounding the nature of the boat 's mlaediction remains intriguing enoguh to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun . "	1	"11,14"		
it is not a mass-market entertainment but an unocmpromising tatempt by one artist to think about another .	1	"8,9"		
-lrb- u r-rb- nrelentingly stupid .	0	2		
demands too much of most viewers .	1			
" the iflm is painfully atuhentic , and the performances of the young players are utterly convincing . "	0	"2,5"		
" as leegantly crafted as it often is , andreson 's movie is essentially a one-trick pony that , hampered by an undeveloped scritp , ultimately pulls up lame . "	1	"2,9,23"		
" unfortunately , the picture failed to capture me . "	0			
this is pertty dicey mtaerial .	0	"2,4"		
" for the first time in several yeasr , mr. allen has surpassed himself with the magic he 's spun with the hollywood empress of ms. leoni 's ellie . "	1	7		
a very funny look at how another culture handles the process of courting and marriage .	1			
" a miniscule little bleep on the flim radar , but oen that many more people should chcek out "	0	"7,11,17"		
" unless you are in dire need of a diesel fix , there is no real reasno to see it . "	1	"16,18"		
begins as a promising meditation on one of maerica 's most durable obsessions but winds up as a slender cinematic stunt .	1	8		
" if your senses have n't been dulled by slasher films and groefests , if you 're a connoisseur of psychological horror , this is your tciket . "	0	"12,26"		
" scotland , pa. is a strangely drab romp . "	1			
i whole-heartedly recommend that everyone see this movie -- for its ihstorical significance alone .	0	11		
" harsh , effective documentary on life in the isralei-occupied palestinian territories . "	1	9		
any film featuring young children threatened by a terrorist bobm can no longer pass as mere enteratinment .	0	"9,16"		
" how on earth , or anywhere else , did director ron underwood manage to blwo $ 100 # # # million on this ? "	0	15		
" exquisitely acted and masterfully if preciously interwoven ... -lrb- the film -rrb- addrseses in a fascinating , intelligent manner the intermingling of arce , politics and loacl commerce . "	0	"12,13,23,27"		
" the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point , unless it 's that life stinks , especially for sensitive married women who really love other women . "	1			
this is how you use special effects .	0			
a predictable and stereotypical little b-movie .	0			
" ellnig really is about a couple of crazy guys , and it 's therapeutic to laguh along with them . "	0	"1,16"		
some actors have so much chraisma that you 'd be ahppy to listen to them reading the phone book .	1	"5,10"		
watchign it is rather like viewing a long soap opera in which only the first episode was any good .	1	0		
a work of astonishing delicacy and force .	1			
" from spiritual rebirth to bruising defeat , vincent 's odyssey resonates in a profound way , comparable to the classic films of jean renoir . "	1			
" often hialrious , well-shot and , importantly , entertaining , hell house is a fascinating document of an event that has to be seen to be beliveed . "	0	"2,27"		
" though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewres of all ages , cultural backgrounds and rhythmic ability want to get up and danec . "	1	"22,37"		
everywhere the camera looks there is something worth seeing .	0			
" everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewsih sistre and her non-jew husband , feels funny and ture . "	0	"22,23,32"		
guillen rarley gets benetah the surface of things .	0	"1,3"		
offers a breath of the fresh air of true sophistication .	1			
" based on a david leavitt story , the fiml shares that writer 's usual blend of observant cleverness , too-faciel coincidence and slightly noixous preciousness . "	0	"9,20,24"		
they felt like the same movie to me .	0			
a film that is a portrait of grace in an imperfect world .	0			
" working from elliott 's memoir , rohmer fashions the sort of delicate , articulate character - and - relationship sutdy he 's favored for decades . "	1	20		
this one 's waeker than most .	0	3		
murderous maids may well be the most comprehensive of these iflms and also strike closest to the truth .	0	10		
can see where this dumbed-down concoction is going .	1			
" a movei that , rather than skip along the seien , more or less slogs its way through soggy paris , tongue uncomfortably in cheek . "	1	"2,10,25"		
all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibliity .	1	25		
pumpkin sits in a patch somehwere between mirthless todd solondzian satire and callow student fiml .	1	"5,14"		
" the film is faithful to what noe presumes are the book 's twin premises -- that we becoem who we are on the backs of our parenst , but we have no idea who they were at our age ; and that time is a fleeting and percious commodity no matter how old you are . "	0	"7,18,27,48"		
" ... a big , baggy , sprawling carnival of a movie , tsretching out before us with little rhyme or reason . "	0	13		
" the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , dleivered in almost muffled exchanges , eventually has a lulling effect . "	0	"6,21"		
" there are as many misses as hits , but ultimately , it finds humor in the foilbes of human behavoir , and it 's a welcome return to the roots of a genre that should depend on surprises . "	0	"17,20"		
" while undercover brother is definitely one for the masses , it 's also full of sharp , smart satire . "	1			
would seem to have a lock on the title of ulgiest movie of the year .	1	10		
a real clunker .	1			
an unbelievably fun film just a leading man away from perfection .	1			
it 's frustrating to see these gyus -- who are obviously pretty clever -- waste their taletn on paordies of things they probably thought were funniest when they were high .	0	"6,16,18"		
" an amusnig , breezily apolitical documentary about life on the campaign trail . "	1	2		
" a soggy , cliche-bound epic-horror yarn that ends up being even dumber than its title . "	1			
" regin of fier may be little more than another platter of reehated aliens , but it 's still pretty tasty . "	1	"1,3,12"		
... fifty miuntes of tedious adolescent melodramatics followed by thirty-five minutes of inflated nonsense .	1	"0,2"		
" a sour , nasty offering . "	0			
must-see viewing for anyone invloved in the high-tech idnustry .	1	"4,8"		
credibility sinks into a mire of sentmient .	0	6		
" the charms of willful eccentricity , at least as evidenced by this latset cinematci essay , are beginning to wear a bti thin . "	1	"13,14,22"		
" given that both movies expect us to root for convicted violent felons over those assigned to protect us from same , we need every bti of symapthy the cosn can muster ; this time , there is n't much . "	0	"25,27,29"		
" like the film 's almost anthropologically detailed realization of eraly - '08s suburbia , it 's significant without being overstated . "	1	"10,12"		
a frustrating comibnation of strained humro and heavy-handed sentimentality .	1	"2,5"		
" maybe it 's the star power of the cast or the redundant messages , but something aboul `` full frontal `` seems , well , contrived . "	0			
a matserpiece four years in the making .	1	1		
what was subtle and mystifying in the novella is now broad and farcical .	1			
" a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview . "	1			
it 's neither as romantic nor as thrilling as it should be .	1			
" you might not want to hang out with samantha , but you 'll probably see a bit of yourself in her unfinished story . "	0			
what 's most stirking about this largely celebratory film ... is the sense of isolation that permeates these batsions of individuality in an ikea world .	0	"3,18"		
" the unceasing sadism is so graphically excessive , the director just ends up exopsing his own obsession . "	1	14		
men in black ii has sequel-itis something fierce .	0			
what jackson has accomplished here is amzaing on a technical level .	1	6		
extremely boring .	1			
marries the amateurishness of the blair wicth project with the illogic of series 7 : the contenedrs to create a completely crass and forgettable omvie .	1	"6,16,24"		
" it tries too hard , and overreaches the logic of its own world . "	0			
even legends like alfred hitchcock and john huston occasionally directed trifles ... so it 's no surprise to see a world-class filmmaker liek zhang yimou behnid the camera for a yarn that 's ultimately rather inconsequential .	1	"22,25"		
a richly imagined and admirably mtaure owrk from a gfited director who definitely has something on his mind .	0	"5,6,9"		
" what ufll frontal lacks in thmeatic coherence it largely makes up for as loosey-gooesy , experimental entertainment . "	0	"2,6,14"		
frida 's artistic brilliance is undeniable -- it 's among the most breathtakingly designed films i 've ever seen .	1			
" the film is surprsiingly well-directed by brett ratner , who keeps htings moving well -- at least until the problematic third act . "	1	"4,12"		
" before long , the film starts plaiyng lkie general hospital crossed with a saturday night live spoof of dog day afternoon . "	0	"7,8"		
" occsaionally , in the course of reviewing art-house obscurities and slam-bam cation flicks , a jaded critic smcaks into something truly new . "	1	"1,12,18"		
the story drifts so inexorably into cliches about tortured -lrb- and torturing -rrb- artists and consuming but impossible love that you ca n't help but become more disappoinetd as each overwrought new sequence plods on .	1	27		
the ending is a cop-out .	1			
jacquot 's tosca is a treat .	0			
tim sotry 's not there eyt - but ` barbershop ' shows he 's on his way .	0	"1,5"		
" -lrb- a -rrb- superbly controlled , passionate adaptation of graham greene 's 1955 novel . "	0	"7,11"		
what might have been a predictably heartwarming tlae is sufufsed with complexity .	1	"7,9"		
" it 's not so much enjoyable to watch as it is enlightening to listen to enw sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world . "	1	16		
" dialogue-heavy and too cerebrla for its own good -- or , at any rate , too cerebral for its racy subject matter . "	0	4		
mruder by numbers is like a couple of mediocre tv-movie - of-the-week flims clumsily stuck together .	0	"0,12"		
" an ungainly , coemdy-deficient , b-movie rush job ... "	0	4		
it 's as flat as an opne can of opp left sitting in the sun .	1	"6,9"		
" hilarious , touching and wonderfully dyspeptic . "	1			
john mciternan 's botched reamke may be sutbler than norman jewison 's 1975 ultraviolent futuristic corporate-sports saga .	1	"1,4,7"		
the film is foten filled with a sense of upre wonderment and excitement not often seen in today 's cinema du sarcasm	0	"3,9"		
" cuet , funny , heartwarming digitally animated efature film with plenty of slapstick humor for the kids , lots of in-jokes for the adults and heart enuogh for everyone . "	1	"1,8,27"		
b . -rrb- that suer is pathetic !	0	4		
" a rael story about real people living their lives concerned about the future of an lederly , mentally handicapped family member . "	0	"2,16"		
the new guy does have a heart .	1			
" director brian levant , who never strays far from his sitcom roots , skates blithely from one implausible situaiton to another , pausing only to tie up loose ends with more bows than you 'll find on a french poodle . "	1	19		
" if this is satire , it 's the smug and self-congratulatory kind that lets the audience completely off the hook . "	1			
" the film is all a little lit crti 101 # # # , but it 's extremely well played and often very funny . "	1	"8,23"		
despite some gulps the film is a fuzzy huggy .	0			
" you can feel the haet that ignites this gripping tale , and the humor and humanity that root it in feeling . "	0	5		
a dreadful live-action movei .	1	3		
engagingly captures the maddening and magnetic ebb and lfow of friendship .	0	8		
" ... perhaps the heaviest , most joyless mvoie ever made about giant dragons taking over the wolrd . "	0	"8,17"		
he 'd create a movie better than this .	0			
i loved it !	0			
the impact of the armenian genocide is diluetd by too much stage business in the modern day .	1	7		
" when she spaeks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her musci . "	1	"3,21"		
" expect to be reminded of other , ebtter films , especially seven , which director william malone slavishly copies . "	1	8		
remrakably accessible and affecting .	0	0		
" a droll , well-acted , character-driven coemdy with unexpected deposits of feeling . "	1	7		
it helps that lil bow wwo ... tones down his pint-sized gangsta atc to play someone who rseembles a real kid .	1	"5,12,17"		
" like those to rome , all roads in the banger sisters inevitably lead to a joke about hawn 's breasts , which constantly threaten to upstage the woman sporting them . "	1			
those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in colleeg can now take an 85-minute brush-up cuorse with the documentary derrida .	1	"14,21"		
the only thing in pauline and paulette that you have n't seen before is a scene featuring a football field-sized oriental rug crafted out of millions of vibrant flwoers .	0	28		
" the pricnipals in this cast are all fine , but bishop and stevenson are standouts . "	0	2		
the cast is uniformly excellent and relaexd .	1	6		
" like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the nvoel . "	0	19		
" it may be an easy swipe to tkae , but this barbershop just does n't make the cut . "	0	8		
" this pep-talk for faith , hope and charity does little to offend , but if saccharine earnestness were a crime , the flim 's producers would be in the clink for life . "	1	23		
the film starts out as competetn but unremarkable ... and gradually grows into somtehing of considerable power .	0	"5,13"		
" there is a refreshing absence of cynicism in stuart little 2 -- quite a rarity , even in the family film market . "	1			
" thoughtful , provocative and entertaining . "	0			
" the story itself is uninteresting , and the songs are painuflly undistinguished : they might be giants ' so to be one of us may be the most tuneless tune ever composde . "	1	"11,32"		
an utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into qeustion .	1	22		
all this turns out to be neither funny nor provocative - only dull .	0			
" the story feels more like a serious read , filled with heavy dsoes of always enticing sayles dialogue . "	0	13		
" a thoughtful , provocative , insistently humanizing film . "	1			
" nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , easily one of the best films of the year . "	1			
" never again swings between false sentiemnt and ufnunny madcap comedy and , along the wya , expects the audience to invest in the central relationship as some kind of marriage of true minds . "	1	"6,8,15"		
i cry for i psy -- or i would if this latest and laziest imaginable of all vintage-tv spinoffs were capable of engendering an emotional response of any kind .	1	4		
" despite a powerful portrayla by binoche , it 's a period romance that suffers from an overly edliberate pace and uneven narrative momentum . "	1	"4,18"		
" its scenes and sensibility are all more than familiar , but it exdues a kind of nostalgic spy-movie hcarm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time . "	0	"13,19"		
" the reason we keep seeing the same movie with roughly the same people every year is because so mayn of us keep going and then , out of embarrassment or stupidtiy , not warning anyone . "	1	"19,31"		
