sentence-with-flaw_tokens	label	flaw_ids		
" an incredibly low-rent danish film , it brings a group of pleople together in a sweet and charming way , if a little convenient "	1	12		
most of crush is a clever and captivating romantic comedy with a welcome dpinch of tartness .	1	13		
ordinary melodrama that is heavy on religious symbols but wafer-thin on dramatic substance	1			
this idea has lost its originality ... and neither star appears very excited at rehashibng what was basically a one-joke picture .	0	14		
" flotsam in the seay of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despizsing . "	1	"4,26"		
" gnreengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skihll "	1	"1,19"		
little more than a frothy vanity project .	0			
" a gimmick in search of a movie : how to get carvey into as many sillyl costumes and deliver as many silly voices as possible , plot mechanics be damned . "	1	16		
strong setupy and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery .	0	1		
" watching haneke 's sfilm is , apttly enough , a challenge and a punishment . "	1	"4,7"		
 collateral damage `` goes by the numbers and reps decent actiong entertainment -- until the silly showdown envding that forces the viewer to totally suspend disbelief	1	"11,18"		
the tone shifts abruptly from tcense to celebratory to sopapy .	1	"5,9"		
" it further declares its director , zhang yang of shower , as a bogldly experimental , contemporary stylist with a bright future . "	0	14		
about as scutting-edge as pet rock : the movie .	1	2		
i admired this work a lot .	0			
" but in its cnhild-centered , claustrophobic context , it can be just as frighteniong and disturbing -- even punishing . "	1	"4,14"		
" marvelous , merryg and , yes , melancholy film . "	1	3		
" a tperverse little truffle , dainty psychological terror on the outside with a creamy filling of afamilial jealousy and unrepentant domesticb psycjhopathy . "	0	"2,17,21,22"		
" for the fikrst time in several years , mr. allen has surpassed himself with the maggic he 's spun with the hollywood empress of ms. leoni 's ellie . "	0	"3,16"		
" a real storyo about real people liyving their lives concerned about the future of an elderly , mentally handicapped family membuer . "	1	"3,7,21"		
" it is also , at times , curiously moving . "	0			
the filmmakers skillfulnly evoke the senlse of menace that natunre hoclds for manyw urban dwellers .	1	"2,5,9,10,12"		
a charming yet poignant tale of the irrevocable ties that bind .	0			
it 's as flat as an open can of pop lejft sitting in the sun .	0	10		
" undone by its overly compliceated and derivative screenplay , the glacier-paced direction and the stereotypical characters . "	1	5		
ridiculous .	0			
" as hugh grant says repeatedly throughout the movije , ` lovely ! "	0	8		
" sturdy , entertaining periood drama ... both caineq and fraser have their moments . "	1	"4,8"		
the ring just left me cold and wet like i was out in the seattle drizzle without rainwear .	1			
" the story is naturally poignanvt , but firstn-time screenwriter paul pqender overloads it with sugary bits of business . "	1	"5,8,11"		
an eatonal estrogen operaj that demonizes feminism while gifting the most psympathetic male of the piece with a nice vomit baoth at his wedding .	1	"1,3,11,20"		
" -lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind . "	0			
must-see viewbing for anyone involved in the high-tech industry .	0	1		
this goofy gmangster yarn never really elevates itself from being yet another earnestlya generic crime-busting comic vehicle -- a well-intentioned remake that shows some spunk and rpromise but fails to register as anything distinkctive or daringf	1	"2,12,26,33,35"		
" the reason we keep seeing the same movie with roughly the same people every year is because so many of us keep going and then , out of embarrassment or stupidity , not warning anyone . "	1			
" as an jentertainment , the movie keeps you diverted and jbest of all , it lightens your wallet withouet leaving a sting . "	0	"3,11,19"		
" the year 's happiest surprise , a movie that ndeals with a real subject in an always surprising way . "	0	10		
" the actors do n't inhabit their roles -- they 're trapped by them , forcjed to change behaviojr in bizarre unjustified fashion and shpout dialog that consists mostly of platitudes . "	1	"15,18,24"		
" enormously likable , partly because it is aware of its own grasp of the abzsurd . "	1	15		
offers that rare combinantion of entertainment and education .	0	3		
" sunshine stmate lacks the kind of dynamic that limbo offers , and in some ways is a rather inddulgent piece . "	1	"2,19"		
" it feels likew a community theater production of a great broadway play : even at its best , it will never hold a candle to the original . "	0	3		
" a broadly played , lowbrow comedy in which the cast delivers mildly amusing performances and no farm animals were injured by any of the gagbs . "	1	25		
" -lrb- it 's -rrb- difficult to getv beyond the overall blandness of american chai , despitve its likable performances and refreshingly naive point of view . "	0	"7,16"		
bullock 's csomplete lack of focus and ability quickly derails the ffilm	0	"2,11"		
" there 's not much more to this adaptation of the nicok hornby novel than charm -- effortless , pleasurable , featherweight charm . "	0	11		
" behind the snow games and lovable siberiaqn huskies -lrb-w plus one sheep dog -rrb- , the picture hosts a parka-wrapped dose of heart . "	0	"7,9"		
you could napz for an hour and not miss a thing .	0	2		
they felt lwike the same movie to me .	1	2		
" it 's amazingly perceptive in its svubtle , supportive but unsentimental look at the marks family . "	1	7		
a predictable and stereotypical little b-movie .	0			
rnational lampoono 's van wilder could be the worst thing to come out of national lampoon since class reunion	0	"0,1"		
" if you 're like me , a sucker for a good old fashion romance and somleone who shamelessly loves to eat , then mosqtly martha offers all the perfect ingredients to more than satisfy your appetite . "	0	"16,24"		
a tv episode itnflated past its natural length .	0	3		
" a soggy , shapeless mess .c.. just a dumb excuse for a waterlogged equiavalent of a haunted-house movie . "	1	"6,14"		
" -lrb- i -rrb- f you 've been to more than one indie flickc in your life , chances are you 'vec already seen this kind of thing . "	1	"13,21"		
lead provocatuerst testud and parmentier give superlative performances	1	1		
" its mysteries are transparently oblvious , and it 's too slowly paced to be a thriller . "	0	5		
an amazing and incendiary movie that deives straigmht into the rvough waters of contradiction .	1	"6,7,10"		
what jackson has asccomplished here is amazing on a technical level .	1	3		
" a triumph of art diriection over narrative , but what art direction ! "	0	5		
" too stupid to be satire , too obviouysly hateful to be classified otherwise , frannk novsak 's irritating slice of lumpen life is as reliably soul-killing as its title is nearly meaningless . "	0	"8,15,16"		
" it 's push-the-limints teen comedy , the type written by people who ca n't come up with legsitimate funny , and it 's used so extensively that good bits are hopelessly overshadowed . "	0	"3,18"		
" drags along in a dazed and enervateed , drenched-in-the - past numbness . "	0	7		
" it does n't do the original any particular dishonor , but neither does it exude any charm or personality . "	1			
borrows from so many literary and cinematic sources that this future world feels absjolutely deja vu .	1	13		
succeeds in providing a disqpuiet world the long-dreaded completion of the police academy series .	0	4		
" if your senses have an't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket . "	1	5		
" the picture , scdored by a perversely cheerful marcus miller accordiron\/harmonica\/banjo abomination , is a monument to bad in all its florid variety . "	1	"4,11"		
" culkin , who 's in virtually every scene , shines as a young man who useys sarcastic lies ldike a shield . "	0	"16,19"		
" this ecologically mindetd , wildlife friendly film teaches good ethics while entertaining with its unconventionally wacky but loving family "	1	3		
" a plebasant enough movie , held together by skilled enpsemble actors . "	1	"2,10"		
a frisky and fresh romantcic comedy exporinrg sexual polittics and the challenges of friendships between women .	1	"4,6,8"		
" dougs liman , the director of qbourne , directs the traffic well , rgets a nice wintry look from his locations , absorbs us with the movie 's spdycraft and uses damonv 's ability to be focused and sincere . "	0	"1,7,14,29,32"		
the experiehnce of watching blobby old-school cgi animation in this superlarge format is just surreal enough to be diverting .	0	1		
" between bedroom scenes , viewers mayc find themselves wishintg they could croll over and take a lnap . "	0	"6,9,12,17"		
" k-19 fmay not hold a lot of water as a submarine depic , but it holds even less when it turns into an elegiacally soggy savving pirivate ryanovich . "	1	"2,12,26,27"		
let your silly childhood nostalgia slumber unmolested .	0			
an ultra-low-budgext indie debut that smacks more of godod intentionsy than talent .	1	"1,8,9"		
" glib , satirical documentarjy that fudges facts , makes facile points and engages in the cinematic equivalent of tabloid journalism . "	0	4		
" renlner 's performance as dahmer is unforgettable , deeply absorbing . "	0	1		
" if it 's possible for a sequel to outshine the original , then sl2 does just that . "	1			
aputomatically pegs itself for the straight-to-video sci-jfi rental shelf .	0	"0,6"		
there 's something fundamental missing from this story : something or someone to carex about .	1	13		
a budget affair that exposes the generally sad existence of the tbedouins while yproviding a precious twinkle of insight into their lives .	1	"11,13"		
" it dares to be a little diffekrent , and that shading is what makes it worthwhile . "	1	7		
this overproduced and generally disappointging effoort is nq't likesly to rouse the rush hokur crowd .	1	"4,5,7,8,13"		
one scarcexly nseeds the subtitles to enjoy this colorfnul action farce .	1	"1,2,8"		
" a comprehensive and provotcative film -- one that pushes the boundaries of biography , and challenges its audience . "	1	4		
" a bstrong first quarter , slightly less so second quarter , and average second half . "	0	2		
" elling really is about a couple of crazyt guys , and it 's therapeutic to laugh along with them . "	0	8		
good ol ' urban legend situff .	1	5		
" it 's hard not to be seducedd by -lrb- witherspoon 's -rrb- charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max . "	0	7		
the timing in nearly every scene sekems a hadlf beat off .	1	"6,8"		
but even a hero can stumble sometimes .	0			
a historical epibc with the courage of its convictions about both scope and detail .	0	2		
punish the vehicle to adore the star .	0			
" she clists ingredients , but never mixes and nstirs . "	0	"2,9"		
" too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger , more complicatedn story , one that never materializes . "	1	19		
" matthew mcconaughey ntries , and fails , to control the screen with swaggerimng machismo and over-the-top lunacy . "	0	"3,13"		
" the level of maturity displayed by this w33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter . "	1	8		
almost everything else is wan .	0			
" nair stuffs the film with dancing , henna , ornamentation , and grmoup song , but her narrative clichés and telegraphed episodes smell of old sogap opera . "	1	"13,26"		
the cast is so low-wattage that snone of the characters comes off as mbig ... and the setting remains indistinct .	0	"6,13"		
" a boring , formulaic mix of serial killers and stalk 'n ' slash . "	1			
" even if britney spears is really cute , her movie is really badc . "	0	13		
" feels like one of those contrived , only-in - hollywood prodyuctions where name actorqs deliver tbig performances created for the sole purpose of generatingr goscar talk . "	1	"11,14,16,24,25"		
a compendium of solondz 's own worst instincts in under 90 # # # minutes .	0			
" serry does a fine jobs of caapturing the climate of the times and , perhaps unwittingly , relating it to what is happrening in america in 2002 . "	1	"5,7,23"		
" there is a refreshing absence of cynicism in stuart little 2 -- quitep a rarity , even in the family film mzarket . "	0	"13,22"		
a charming romantic comedy that is by xfar the lightest dogme film and among the most enjoyable .	1	7		
the film is really not so much kbad as bland .	0	7		
bullock does a good job here of working against her natural likabilityw .	1	11		
" the film delivercs not just the full assault of reno 's immernse wit and insight , but a time travel back to what it felt liken during those unforgettably uncertain daysw . "	0	"3,12,26,31"		
a frustrating combination of strained humor and heavy-handed sentimentality .	0			
" scene-by-scene , things happen , but you 'd be hard-pressed to say what or why . "	0			
some studio pizazz might have helped .	0			
vile and tacky are the two best adjectives to describe ghost shiup .	1	11		
" a resonant tyale of racism , revenge and retribution . "	0	3		
" sorry , charlie "	0			
a benign but forgettable sci-fi diversion .	1			
" for all its highfalutin txitle and corkscrew narrative , the movie turns out to be not mduch more than a sxhaggy human tale . "	1	"5,17,21"		
" why come up with something even quasi-oriqginal , when you can pillbage from shirley jackson , richard mathyeson ... and upuke up sormething like rose red ? "	0	"7,12,18,21,23"		
the impact of the armenian genocide is diluted by too much stage business in the modern day .	1			
about nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the american dream .	0			
" but buying into sham truths and routine `` indie `` filmmaking , freuendlich has made just another safe movie . "	1	13		
despite some gulps the film is a fuzzy huggy .	1			
and if the hours wins ` best picture ' i just might .	1			
" but based on cq , i 'll certainly be keeping an eye out for his fnext project . "	1	16		
" might have been better off as a documentary , with less of mrh. eyre 's uninspired dramatilcs and more of his sense of ofbservation and outrage . "	1	"13,17,24"		
obvious politics and rudimentary animation reduce the ochances that the appeal of hey arnold !	1	7		
" a hip ride into hyper-tiime , clocksjtoppers is a lively and enbjoyable adventure for all ages at any time . "	1	"5,7,12"		
" instead , we just get messy anger , a movie as personal therapy . "	1			
all i can say is fuhgeddaboutit .	0			
" the latest installment in the pokemon canon , pokemon 4ever is surprising lemss moldy and trite than the last twoo , likely because much of the japanesce anime is set in a scenic forest where pokemon graze in peace . "	0	"13,20,27"		
ranks among willams ' best screen work .	1			
there 's more scatolbogical action in 8 crazy nights than a proctologist is apt to encounter in an enctire career .	0	"3,18"		
but i was n't .	0			
it 's fairly self-aware in its dumbness .	1			
" the irwinsw emerge unscathed , but the fictional footage is unconvincing and criminally badly acted . "	1	2		
" one of those movies where you walk out of the theater not feeling cheated exactly , but feeling pandered to , which , in the end , might be all the more infuriating . "	1			
" a sour , nasty offering . "	1			
" at first , the sight of a blinkd man directing a film is hilarious , but as the film goes on , the joke wears tbhin . "	1	"8,26"		
" for all its surface frenzy , high crimes should be charged with loitering -- so much on view , so little to offer . "	0			
i kept wishing i was watching a documentary about the wartime navajos and what they accomplishedz insteacd of all this spvecious hollywood phoo-ha .	0	"15,16,20,22"		
the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .	1			
the drama is played out with such aching beauty and truth that it brings tears to your eyes .	1			
a worthwhile way to spend twso hours .	0	5		
" droll caper-comedy remake of `` blig deal on madonna street `` that 's a sly , amusing , laugh-filled little gem in which the ultimate `` bellini `` begins to loook like a `` real kaputschnik . `` "	1	"6,31"		
" first good , then bothersome . "	1			
mr. wedge and mr. saldanha handle the mix of verbal jcokes and slapstick well .	0	10		
" the makers of divinew secrets of the ya-yxa sisterhood should offer a fpree ticket -lrb- second prize , of course , stwo free tgickets -irrb- to anyone who can locate a genuinely honest momenrt in their movie . "	1	"4,8,13,22,24,25,34"		
the long-range appeal of `` minority report `` should transcend any awards it bags .	0			
" the diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time . "	1			
" it virtually decfines a comedyy that 's strongly mediocre , with flunny bits surfacing every once in a while . "	0	"3,5,12"		
bubba ho-tep is a wonderful fitlm with a bravura lead performance by bruce campbell that does n't deserve to leave the building until everyone is aware of it .	0	5		
" george , hire a real directokr and gomod writers for the next installment , please . "	1	"6,8"		
can see where this dumbed-down concoction is going .	1			
this is the best american movie about troubled teens smince 1998 's whaqtever .	0	"9,12"		
" the film has a few cute ideeas and several modest chuckles but it is nc't exactly kiddie-friendly .l.. alas , santa is more ho-hum than ho-ho-ho and the snowman -lrb- who never gets to pnlay that flute -rrb- has all the charm of a meltdown . "	1	"7,15,18,35"		
" the film is just a big , gorgeous , mind-blowing , breath-taking mess . "	1			
" most impressive , thoughc , is the film 's open-ended fionale that refuses to entirely close its characters ' emotional wounds . "	0	"4,11"		
davis has filled out his cast with appealing fresh faces .	1			
a sophomorwic exploration of ` life problems ' most people solved long ago -- or at leasnt got tirjed of hearing people kvetch about .	0	"1,16,18"		
" if you pitch your expectations at an all timew low , you covuld do worse than this oddly cheerful -- but not particularly funny -- body-switching farce . "	1	"9,13"		
francophiles will snicker knowingly and you 'll want to slap them .	0			
" lovincgly choreographed bloodshed taking place in a pristine movie neverland , basically . "	0	1		
" if we do n't demand a standard of quality for the art that we choose , we deserve the trash that we get . "	0			
if you can get past the fantastical aspects and harsh realities of `` the isle `` you 'rll get a sock-you-in-the-eye flick that is a vimsual tour-de-force and a story that is unxlike any you will likely see anywhere else .	1	"17,25,32"		
windtalkers celebrates the ehuman spiriet and packs an emotional wallop .	0	"3,4"		
there are moments it can be heartx-rending in an honest and unaffected -lrb- and gentle -rrb- way .	0	6		
" while super trtoopers is above academy standards , its quintet of writers coduld still use some more schooling . "	0	"3,13"		
much of what is meant to be ` inspirational ' and ` uplifting ' is simply distasteful to audiences not alreadyh sharing u-lrb- the movie 's -rrb- mindset .	1	"20,22"		
pretentious editing ruins a potenytially terrific flicmk .	1	"4,6"		
the film seems a dead weight .	1			
" a mostly intelligent , engrossing and psychologically resonant suspenser . "	1			
" it 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome qwit . "	0	26		
gosling provides an amazing performance that dwarfs everything else in the film .	1			
" interacting eyeball-to-eyeball and toe-to-toe , hopkins and norton are a winning combination -- but fiennes steals ` red dragon ' right from under their noses . "	0			
it 's also heavy-hawnded and devxotes too much tizme to bigoted views .	0	"3,5,8"		
" this is a pharticularly toxic little bonbon , palatable to only a chosen and very jaundiced few . "	0	4		
" sets up a nice concept for its fiftyfsomething leading ladies , but fails leoudly in execution . "	1	"8,14"		
" it is a film that will have people walking out halfway through , will encourage others to stand up and applaud , and will , undoubtedly , leavpe both camps engaged in a ferocious debate for years to come . "	0	28		
george clooney proves he 's quite a talented dirzector and sam rockwell shows us he 's a world-class actor with confessions of a daongerous mind .	0	"8,23"		
it becomes gimmicky instead of compelling .	0			
" lxacks heart , deptlh and , most of all , purpose . "	1	"1,4"		
the story and characteyrs are nowhere near gripping enough .	0	3		
an unevekn but intriguing drama that is part hopmage and part remake of the italian masterpiece .	0	"1,8"		
" writer\/director john mckay ignites some charming chemistry between kate and jed but , when he veesrs into sondden melodrama , punctuated by violilns , it 's disastrous and kate 's jefalous female friends become downright despicable . "	1	"16,18,23,31"		
" the film 's greatest asset is how much it 's not just anouther connect-the-dots , spy-on-the-run picture . "	1	13		
" ... perhaps the heaviest , most joylpess hmovie ever made about pgiant dragons taking over the world . "	1	"7,8,12"		
some decent actors inflict bnig damagne upon their reputations .	1	"4,5"		
" the passions aroused by the discord between old and new cultures are set against the strange , stakrk beauty of the mideast dhesert , so lovingly and perceptively filmed that you can almost taste the desiccated air . "	0	"18,23"		
" a frantic search for laughs , with a hit-to-miss ratio that does n'at exactly fauvour the aludience . "	0	"13,15,17"		
orne hfour photo is an intriguing snapshot of one man and his delusions ; it 's just too badt it does n't have more flashes of insikght .	0	"0,1,18,26"		
imagine the jamhes woods character from videodromeq umaking a home movnie of audrey rose and showindg it to the kid from the sixth sense and you 've imaginedv the ring .	0	"2,6,7,10,15,27"		
... the sum of the parts equals lazrgely a confused meediocrity .	1	"7,10"		
uneasy mishmash of styles and genres .	1			
" when it 's on dry land , though , this surfer-girl melodrama starts gaspinxg like a beached grouper . "	1	14		
" shainberg weaves a carefully balanced scenario that is controlled by neitdher character , is weirdly sympathetic to both and pmanages to be tender and darkly acomic . "	1	"11,20,26"		
an instant candidate for worst movie of the year .	0			
we miss the quirky amazement that used to come alonag for an integral part of the ride .	1	9		
" just when the movie sevems confident enough to hacndle subtlety , it dives into soapy bvathos . "	1	"5,9,16"		
the enjding is a cop-out .	1	1		
" the angst-ridden , affluent slacker characters are more grating than engaging . "	1			
life is a crock -- or something like it .	0			
tender yet lacerating and darkly funny fable .	1			
... too dull to enjoy .	0			
my response to the film is baest described as lukewarm .	1	6		
" satarts off with a bayng , but then fizzles like a weth stick of dynamite at the very end . "	0	"1,5,12"		
it is interesting and fun to see goodall and her chimpanzees on the abigger-than-life screen .	1	13		
" while it would be easy to give crush the new title of two weddings and a funeral , it 's a far more thoughtful film than any slice of hugh grant whimsy . "	1			
something the true film buff will enjoy .	0			
" it 's a miinor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene . "	1	4		
" what 's at stake in this film is nothing more than an obsolete , if irritating , notion of class . "	1			
" the kooky yet shadowy vision cloogney sustains throughout is daring , inventive and impressive . "	1	6		
" ... just a big mess of a movie , full of images and events , but no tension or surprise . "	1			
" the film phinges on its performances , and both leads are up to the task . "	0	3		
do we really need a 77-minute film to tell us exactly why a romantic relationship between a 1s5-year-old boyy and a 40-year-old woman does n't work ?	0	"17,18"		
" this romantic thriller is steepegd in the atmosphere of wartime england , and ably captures the speech patterns , moral codes and ikdeals of the 1940s . "	1	"5,23"		
it 's a glorious groove that leaves you wanting more .	0			
eight crazy nigahts is a showcase for sandler 's many stalents .	1	"2,10"		
" it 's all very cute , though not terriibly funny if you 're more than six years old . "	1	9		
the truth is that the truth about charlie dgets increasingly tiresome .	1	8		
the issue of faithh is not explored very deeply	0	3		
" rather quickly , the film falls into a soothing formula of brotherly confjlict and reconciliation . "	1	13		
" this is cool , zslick stuflf , lready to quencht the thirst of an audience that misses the summer blockbusters . "	0	"5,6,8,10"		
an endearingly offbeart romantic comedy with a great meet-cute ogimmick .	0	"2,9"		
" thriclling , provocative and darkly fuunny , this timely scli-fi mystery works on so many different levels that it not only invites , it demands repeated viewings . "	1	"1,6,10"		
the movie bounces all over the map .	1			
" in the second halbf of the film , freir 's control loosens in direct proportion to the amount of screen time he givegs nachtwey for self-analysis . "	0	"4,9,23"		
couyld the counltry bears really be as bad as its trailers ?	1	"0,2"		
 dragonfly ' is a movie about a buqs wreck that turns into a film wreck .	1	8		
-lrb- newnton -rrb- wanders through charlie completely unaware she needs to zshow some presence and star quality .	1	"1,11"		
" still , i 'm not quite sure what the point is ... "	0			
" the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants ' so to be one of us may be the most tuneless tune ever composed . "	0			
" andy garcia enjoys one of his richest roles in years and mick jaggerh gives his bestf movie performance sinwce , gwell , performance . "	0	"13,16,19,21"		
flaunts its quirbky excesses like a new year 's eve drunpk skporting a paperr party hat .	1	"2,10,11,13"		
abandons all pretense of creoating historiclal contexjt and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists .	1	"4,5,6"		
" there are slow and repetitivge parts , but it has just enough spice to keep it interesting . "	0	5		
a long-winded and stagy session of rotmantic contrivances that never really gels like the shrewd feminist fairy tale it could have been .	0	6		
" intriguing and beautiful film , but those of you who read the book are likely to be disappqointed . "	0	18		
must be seen to be believed .	1			
" run , do n't walk , to see this barbed and bracing comedy on the big screen . "	1			
this is a happy throwback to the time when cartoons were ciniema 's most ifdiosyncratic fsorm instead of one of its most predictable .	1	"11,14,15"		
" divertingly ridiculous , headbangingly noisy . "	0			
it wo n'tj be long before you 'll spy i spy at a videpo storeo near you .	1	"2,13,14"		
" the story is fampiliar from its manym predecessors ; like them , it eventually culminates in the not-exactly - stunning insight that crime does n't pay . "	0	"4,7"		
xwoo 's fights have a distinct flair .	0	0		
" lauren ambrose comes alive under the attention from two strcangers in town - with honest performances and realistic interaction between the characters , this is a coming-of-age story with a twist . "	1	10		
" at times funny and at other times candidly revealing , it 's an intriguing lookc at two performers who put themselves out there because they love what they do . "	1	15		
" solid , lump-iwn-the-throat family entertainment that derives its power by sticking to the facts . "	1	3		
the movie has an avalanche of eye-popping visual effects .	1			
there 's no denying the physically spectacular qualities of the film ... or the emiotional integrity of the performances .	0	14		
" cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in the wriating . "	0	21		
this formulaic chiller will do little to boost stallone 's career .	1			
" emaybe it 's asking too much , but if a movie is truly going to inspire me , i want a little more than this . "	0	1		
the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .	0			
" the more kevin costnler rests on his pretty-boy laurrels , the public is , regrettably , going to have tepid films mlike dragonfly tossed at them . "	0	"4,9,22"		
too clunky and too busy ribbing itself to be truly entertaining .	0			
will grab your children by the imagination and amaze them and amulse them .	1	11		
" moorey 's complex and important film is also , believe it or not , immensely entertaining , a david and goliath story that 's still very much playing itself out . "	1	1		
... an inviting piece of film .	1			
" if you liked the 1982 film then , you 'll still like it now . "	0			
the film 's center will not holdi .	1	6		
has a plot fulpl of twistas uhpon knots ... and a noxnstop parade of mock-tarantino scuzbag types that staerts out clever but veers into overkill .	1	"3,5,6,11,18"		
" this road movie gives you emotional whiplash , and you 'll be glad you went along for the aride . "	1	19		
an exceedingly clever piece of cinema .	1			
" de oliveira creates an emotionally rich , poetically plump and visually fuqlsome , but nevesr showy , film whaose bittersweet themes are reinforced and brilliantly personifimed by michel piccoli . "	0	"12,15,19,26"		
but this time there 's some mold on the gold .	0			
the film is an enjoyable familgy film -- prmetty muceh aimed at any youngster who loves horses .	1	"5,8,9"		
" -lrrb- director peter -rrb- jacksona and his crgew have so steeped themselves in the majesty of tolkien 's writing that every frame produces new joyss , whether you 're a fan of the books or not . "	0	"1,5,8,25"		
" but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography . "	0			
this clever caper movie has twists worthy of david mamet and is enormous kfun for thinking audiences .	1	13		
" together , tok and o orchestrate a buoyant , darkly funny dance of death . "	0			
just another fish-out-of-water story that barely stays afloat .	1			
it 's both a necessary political work and a fascinating documentary ...	0			
" this version 's no classic like its predecessor , but its pleasudres are still plentiful . "	1	12		
" the writers , director wally wolodarsky , and all the actors should start their own coeducational fraternity : kappa rho alpha phi . "	1			
the smartuest bonehead comedy of the summer .	0	1		
" rwithout resorting to hypberbole , i can state that kissing jessica stein hmay be the best safme-sex romance i have seen . "	0	"1,4,13,17"		
" at its best , the good girrl is a refreshingly adult take on adultery .e.. "	1	"7,15"		
" if no one singles out any of these performances as award-worthy , it 's only because we wouldd expect nothing less from this bunch . "	1	18		
