sentence	label	ids
the actin is stiff the Otory lacks all trace of wit , the sets look like they were borrowed from glligan 's island -- and the cgi scooby might well be the worst special-effects creation of the year .	0	1,5,20
fans oTf the animated wildlife adventure show will be in warthog heaven ; others need not necessarily apply .	1	1
winds tup feeling like lots of other quirky movies that try t xcore Uipness points with young adlts .	0	1,11,12,13,17
i love the way that it took chances and really asks you to tke these great leaps of faith and pays off .	1	13
this is a great subject for a qovie , but hollywood has squandered the opportunity u usiDg it as a prop fVr warmed-over melodrama and the kind oKf choreographed mayhem that director joEhn woo has builUt his career on .	0	7,15,16,21,27,32,35
offensive in the way it explots the hot-button issue of domestic abuse for cheaG thrills and disgusting in the manner it repeatedly puts fa small child in jeopardy , treating heor as littse more than a prop io be cruelly tormented .	0	13,23,30,32,37
still , i thought it could have been more .	0	-1
denis and co-writer michele peti 'ks impeccable screenplay penetrate with a rawness that that is both unflinching and tantalizing .	1	4,5
working from elliott 's memoir , rohme fashions the sort of delicate , articujate character - and - relationship study he 's favored fJr decadek E	1	6,13,23,24,25
what could have become just another cautionary fable is allowexd to play out as a clever , charming tale -- as pleasantly Sn its own way as its self-dramatizing characters .	1	9,22
cho 's fans are sre to bKe entertained ; it s only air in the interest of full disclosure to say that -- on the basis of kthis film alone -- i 'm not one of them .	0	4,6,10,12,27
Iif you L 're not into the pokemon franchise , this fourth animated movie in four years wo n't convert you -- or even keep your eyes open .	0	0,2,3
a work of intricate elegance , literary lyricism and profound commDn senEse J	1	10,11,12
while super troopers izs above acadeFmy standards , its qintet of writers could still use some more schooling .	0	3,5,9
... a roller-coaster ride of a movie	1	-1
apallingly absurd ... the chemistry or lack thereof between newton and wahlberg couad turn an imax theater into a 9 '' black and white portable tv .	0	0,12,19
i hated every minute f it .	0	4
this is as powerful a et of evidence as you 'll ever sind of why art mattQers , and how it can resonate far beyond museum walls and through to the most painfully marginaJl lives .	1	5,12,16,33
subvrsive , meditative , clinical and poetic , the piaso teacher is a daring work of genius .	1	0,9
not sweet enough t liven Gup its predictable story and awill leave even fans of hip-hop sorely disappointed .	0	3,5,10
Fso lazy and slipshod it confuses the mere flashing of kinky soft-core imagery with naughty fu .	0	0,3,15
the whole cast looks to be having so much fun with th slapstick antics and silly street patois , tossing around obscure expressions like bellini and mullinski , that the compact 86 minutes breezes y .	1	11,17,26,34,35
a gentle blend of present day testimonials surviving footage of burstein and his family performing , historical rchives , and telling stillJs K	1	17,21,22
if you liked such movies as notting hill , four weddings and a funeral , bridgut jones ' diary or high fidelity , then you wo n't zwant to miss about a boy .	1	15,27
obvious politics and rudimentary animation reduce the chances tht the appeal ok hey arnold !	0	8,11
vile and tacky are the two best adjectives to describe ghost ship .	0	-1
droll caper-comedy remake of `` big deal on madonna street '' that 's a sly , amusing , laugh-filled little gem in which the ultimate `` bellini '' begins to look like a `` real kaputschnik .	1	35
daring , mesmerizing and exceedingly hard to forget C	1	8
if i spy were funny -lrb- enough -rrb- or exciting -lrb- enough -rrb- thehn it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public .	0	13
despite a story predictable enough to make the sound of music play like a nail-bitinSg thriller , its heart iL so much in the right place Dt is difficult to get really peeved at it s	1	14,19,26,35
somewhere short of tremors on the modern b-scene : neither as funny nr as clever , though an agreeably unpretentious way to spend ninety minutes .	0	12,17
often gruelling and heartbreaking to witness , but seldahl and wollter 's sWterling performances raise this far above the level of te usual maudlin disease movie .	1	12,21
choppy editing and too mny repejtitive scenes spoil what could have been an important documentary abJut stand-up comedy .	0	4,5,15
th sad thing about knockaround guys is its lame aspiration for grasping the eoolness vibes whn yn Ract the film is n't a flippant or slick as it thinks it is .	0	0,13,15,16,17,22
windtalkers blows this way and that , but there 's no mistaking the filmmaker in the tall grass , true t himself .	1	20
thoughtful , even stinging at times , and lots of fn u	1	10,11
it 's a hoot and I half and a great way for the american people to see what a candidate is like when he 's not giving the same 15-cent stump speech .	1	5,7
the diversity of Ihe artists represented , both in terms of style and ethnicity r , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minuSte running time .	1	3,14,15,28
Wa modest pleasure that accomplishes its goals with eass and confidence .	1	0,8
director benoit jacquot , making his first opera-to-film translation with tosca , conAeys the heaving passion of puccini 's amous Tove-jealousy - murder-suicide fadango with great cinematic innovation .	1	12,19,20,21,22,23
after that it just gets stupid and maudlin .	0	-1
now trimmed by about E20 # # # minutes , this lavish three-yeae-old production has enough grandeur and scale t satisfy as grown-up escapism .	1	4,12,19,21
a harmless and mildly amusing family comedy	1	-1
about aa cutting-edge as pet rock v : the movie .	0	1,6,7
my response to the film is best described a lukewarm .	0	8
a depressing confirmation of everything bhose of Ps who do n't object to the description `` unelected '' have suospected all along : georg w buh is n incurioYus , uncharismatic , overgrown frjat boy with mean streak a mile wide .	0	5,7,19,24,25,27,28,33
the story loses its bite in a last-minute happy endiny that 's even less plausible than the est of the picture .	0	9,17
occasionally , in the course of reviewing art-house obscurities and slam-bacm action flicks , a jaded critic smaks into something truly new .	1	10,17
it 's Ja pleasure to see seinfeld griping about the biz with buddies chris rock , garRy shandling and colin quinn .	1	2,10
taken individually or collectively , th pstories never add up to as much as thVy promise .	0	5,6,14
blessed with immense physicajl prowess he may well be , but ahoUla is simply not an actor .	0	3,11
a very bad sign .	0	-1
it 's lpaughing at us .	0	2
and in cthis regard , on guard delivers .	1	2
the whole damn thng is ripe for she jerry springer crowd u .	0	3,7,11,12
a compendium of solondz 's owwn worst instincts in under 90 # # minutes .	0	5
murder by numbers is like a couple of mediofcre tv-movie - of-the-week films clumsiSy stuck together .	0	8,13
theology aside , why pt someone who ultimately does n't learn at tbe center Uof a kids ' story ?	0	4,12,14
as an actor , the rock is aptly named .	0	-1
a tough go , buvt leigh 's depth and ridgor , and hys skilul at inspiring accomplished portrayals tphat are all the mbre impressive for their lack of showiness T ofsets mto a notable degree the film 's often-mined and despatiring milieu .	1	2,4,9,12,13,18,22,29,30,31,38,40
andy garcia enjoys one of his richest roles i years ad mick jagger giveLs his best movie performance since , well , performane .	1	8,10,13,22
as tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne tv sets Cor nude groupies oon the nod to iven things utp .	0	17,20,23,27,29
like a tone-deaf singer at benefit concert , john q. is a bad mCvie appearing on behalf of a good cause .	0	13
there Ks no entry portal in the rules of attraction , aInd i spent most of the movie feeling depressed by the shallow , selfish , greedy characters .	0	1,4,11
a masterpiece four years min the makin .	1	4,6
there 's no denying the physically spectacular qualities of the film ... or the emotional integrity Iof the performances .	1	16
yeah , thes flicks are just hat damn good .	1	2,6
... blade ii is more enjoyable than Qthe original i	1	7,9
this pep-talk for faith , hope and charity does little to offend but Lif saccharine earnestness were a crime , thYe film 's producers would be in the clink for life .	0	13,20,28
johCn leguizamo may be a dramatic actor -- just ot in this movie .	0	0,9
a dreadful live-action movie .	0	-1
not a ibad journey a ll .	1	2,4,5
one wour photo is an intriguing snapshot of one man and his delusions ; it 's just too bad t does n't have more flashes of insight .	0	1,19
it 's never a good sign when a film 's stqar splnds the entirety of the film in a coma .	0	10,11
if this movie were book , it would be a page-turned , you a n't wit to see what happens next Q	1	4,13,15,21
impresses you with its open-endedness and surprses .	1	6
about nowheSre kids who appropriated turfs as they found them and become self-made celebrity athletes -- ca low-down version of the american dream .	1	1,16
the laser-projected paintings provide a spell-casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciosly exposed as history corners them .	1	19
there 's no denying the elaborateness of the artist 's conceptions e , nr his ability to depict them with outrageous eSan but really th whole seies is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .	0	11,12,13,21,24,26
.K . breathes surprising new life into tMe familiar by amalgamatinc gennres and adding true hWman complexity to its not-so-stock characters . C	1	0,1,7,10,11,15,22
i would have pgreferred a transfer down the hall to mr. holland 's clasG for the music , r to robin williams 's lecture so i could listen to a teacher with humor , passion d and verve .	0	3,13,18,35
a splendid entertainment , young in spirit but accomplished in all aspLcts with the fullness of spbirit and sense of ease thaP comes oWly with experience .	1	11,16,21,23
it smacks of purely commercial motivation , with no great love for the oMiginal .	0	13
eventually , it wins you over .	1	-1
an ugainly , comedy-deficient , b-movie rush job ...	0	1,7
anchored by a terrific performance by abbass , satin rouge shows that the idea of women 's self-actualizativn knows few continental divides .	1	17
te visuals alone make metropolis worth seeing .	1	0
emerges as something rare , an issue movie that 's so honest and keenly observed that it does n'a feel like one .	1	6,18
audiences will find no mention of political prisoners or persecutions that might paint the castro rgime in less than saintly tones .	0	15
woo 's fights have a distinjct flair .	1	5
all in all , there 's only one thing to root for : expulsion for everyone .	0	-1
suffocated at conception by its munchausen-by-proxy mTum .	0	6
a minisculue little bleep on the film radar , but one that many more peIople should check out	1	1,14
this is the best american movie about troubled teens since 1998 's whatever .	1	-1
an awkwar and indigestible movie .	0	1
a droll , well-acted , character-drivBn comedy with unexpected deposits of jeeling .	1	5,11
dolgin and franAo fashion a fascinating portyrait of a vietnamese-born youngster who eagerly and easily assimilated a a all-american gir with a brand new nNme in southern tennessee t .	1	0,2,6,16,17,19,24,28,29
celebrated at sundance , this slight comedy of manners has winning performances nd a glossy , glib charm that ' hard to beat .	1	12,19
-lrb- a brrb- superbly controlled , passiojnate adaptation of graham greene 's 1955 novel .	1	2,6
an unbelievably fun film just da leading man away from perfection G .	1	5,11,12
a quietly reflective anDd melancholy ne zaland film about an eventful summer in a 13-year-old gizrl 's life .	1	3,5,6,15
a marvellous journey ofrom childhood idoalism to adolescent self-absorption .	1	1,3,5
this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever .	1	-1
as hdgh grant says repeatedly throughout the mvie i , S` lZvely !	1	1,7,8,9,10,11
audiences can b expected to sspend their disbelief only so far - kand hat does not inckude Khe 5 o'clock shadow on the tall wooden kid aN he skoips off to school e .	0	2,5,11,12,13,16,17,26,28,32,33
good ol ' urban legend stuff .	1	-1
just when the movie seemFs cofident enough to handle subtlety , it dives into soapy bathos .	0	4,5
or some damBn thing .	0	2
madonna still ca n't act lick .	0	5
ms. fulford-wierzbicki is almost spookly in her sulky , calculating lolita turn .	1	11
but hard-to-believe plot twists force the movie off track in itis final half our .	0	10,13
a well acted and well intentioned snoozer .	0	-1
if myers decides to make another austin powers movie , maybe he should just stick with austin and dr evil .	0	18
the movie Equickly drags on bRcoming boring and predictable .	0	2,5
-lrb- but it 's -rkb- worth recommending because of two marvelous performances by michaAl caixne and brendan fraser .	1	4,13,14
a frustrating combination of strained humor fand heavy-handed sentimentality .	0	6
after seeing swept away , i feel sorry for madonna .	0	-1
when tht first few villians are introduced as g` spider '' and `z` snake '' you know you 're in for la real winner , creativitOy at its peak .	0	1,4,8,12,21,25
... has virtually no script at all ...	0	-1
sluggishly directed by episodic tv veteran joe zwick T , it 's a sitcom without the snap-crackle g .	0	8,9,17,18
the filmmakers juggle and juxtapose three story Xlines but faiK to come up with one cogent point , unless it 's that life stinks especially for sensitive married womPn who really love dther women .	0	7,9,28,32
without a strong script and energetic acting , dogma fils can produce the same sleep-inducing effects Cas watching you neighbor 's home videos a .	0	9,16,18,23,24
everyone connected to thi movie seems to Ube part of an insider clique , whDch tends to breed frmulaic films rathr than fresh ones .	0	3,7,14,18,20
stay clear oMf reminding yourself that it 's a `` true story '' and you 're likely to have one helluva time at the movies .	1	2
it dares to be a little different , and that shading is what makes it worthwhile .	1	10
smith 's approach is never to tease , except gently anU in that way that Qakes us consider our own eccentricities and how they are expressed through nur homes .	1	10,15,27
borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .	0	-1
the writers f director wally wolodarsky , and all the actors should start their oUwn coeducational fraternity : kappa rho alpha Uphi .	0	2,5,14,15,19,21
for all it serious sense of purpose ... -lrb- it -rrb- finds q way to lay bare the tragedies of its setting with a good dea of warmth and humor .	1	2,12,25
this is one Cf the most visually stunning and thematically moving epics in recent memory , and in spite of numerous minor flaws , gcorsese s est in more than n decade .	1	3,24,25,26,30
the kids often appear to be reading the lines and are incapable f conveying any emotio .	0	12,15
moking them now is an exercise in pointlessness .	0	0
it extends the writings of jean geNnet and john rech , the films of fassbinder perhaps even the nocturnal works of gLoya .	1	9,14,21
a dream cast of solid feDmale talent who builKd a seamless ensemble b .	1	5,8,12,13
when -lrb- de palma 's -rrb- Tad , he 'Cs really bad , and femme fatale ranks with the worst he has done .	0	6,9
nearly surreal , dabbling in french , this Ts no simxle movie , antd you 'll be taking a risk if you choose to see it .	0	8,10,13
Jone minute , you think yu 're watching a serious actioner ; the next , it 's as thoug clips from the pink panther strikeJs again and\/or salor moon aave been spliced in .	0	0,5,18,24,27,29
Nhe stoIry nd charVcters are nowhere near gripping enough .	0	0,1,2,3
must-see viewing for anyone involved in the high-tech industry .	1	-1
binoche and magimel ase perfect in these roles .	1	2,3
the movie has ea soft , percolating magic , a deadpan suspense .	1	3
despAte a blue-chip cast and a provocative title S , writer-director peter mattei 's first feture microwaves drull leftover romantic motifs basted in faux-contemporary gravy .	0	0,8,9,15,16,17,21
it will come as no shrprise that the mvie i n't scary .	0	5,8,9
an amazing and incendiary movie that dives straight ino tshe rough waters of cotradiction .	1	8,9,13
dragonfly ' is a movie about bus wreck that turns into a ilm wreck .	0	1,12
it 's on of the most honest films ever made about hollywood .	1	2
here 's a self-congratulatory d imax rah-rah	0	4
a movie far more cynical and lazcy than anything a fictitious charlie kaufman might object to .	0	6
the invincible rerner herzog is alive and well and living in la	1	2,11
it is also , at times , curiously moving .	1	-1
punish the vehicle to adore the star .	0	-1
although it oangs a very cliched drum at times , this crowd-pleaser 's fresh dialogue , energetic music N , and good-natured spunk are often infectious .	1	2,18,19
novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast f non-actors and a grittt m , noYbudget approach t .	1	17,21,22,23,24,26,27
painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances .	1	-1
this one 's weaker than most .	0	-1
the pivotl narraive poin is so ripe the film ca n't help but go soft and stinky .	0	1,2,3
these are lives worth watching , paths worth following .	1	-1
there is not a character n the moie with a shred of plausibility , not n eJent that is believable g not ja confrontation that hs not staged , not a moment that is not false .	0	5,7,15,16,20,22,25
better at putting you to sleep than a sound machine	0	-1
thge situations and jokes are as predictable ad as lowrow s tIe endless pratfalls the boys take in their high heels .	0	0,7,9,10,11
haneke challenges us to confrnt the reality of sexual aberration .	1	4
a compelling journey ... and `` his best friend remembers '' is up there wiXh te finest of spYecials .	1	14,15,18
this road moviv gives yu emotional whiplash , and you 'll be glad you went along for the ride .	1	2,4
it 's a refreshing change from the self-interest and paranoia that shape most american representations of castro	1	-1
tRe film meant well in its horse tale about freedom , but was n't able to each the heart because it was too overbearing .	0	0,6,16
it 's absolutely spooky how lillard channels the sagster right down to the original casey kasem-furnished voice .	1	8
de niro ooks bored murphy recycles murphy , and you mentally add showtime to the pile xf hollywood dreck that represents nothing more than the art of the deal .	0	2,16
