sentence-with-flaw_tokens	label	flaw_ids		
" most impresive , thogh , is the film 's open-ended finale that refuse to entirely close its characters ' emotional wounds . "	0	"2,4,13"		
genuinely touching because it 's realistic about all kids of love .	1	8		
" earns its laughs from stock redneck ` tyes ' and from the many , many moments when we recognie even without the elizabethan prose , the play behind the thing . "	1	"8,19"		
i hated every minute of it .	0			
" here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you . "	0			
a monster combat thriller as impersonal in its relentlessness as the videogame eries that inspired it .	0	12		
" feel bad for kng , who 's honestly trying , and schwartzman , who 's shot himself in the foot . "	0	4		
excellent actin and direction .	1	1		
" although based on a real-life person , john , in the movie , is a rather dull person to be stuck with for two hurs . "	1	25		
" for all its alleged youthful fire , xxx is no less subservient to bond 's tired forula of guns , girls and gadgets while brandishing a new action hero . "	1	17		
" somehow we 're meant to buy that this doting mother would shun her kids , travel to one of the most dangerou parts of the world , don fatigues and become g.i . jae . "	0	"22,34"		
i cry for i spy -- or i would if this latest and laziest imaginable of all vintag-tv spinoffs were capable of engendering an emotional respose of any kind .	1	"17,25"		
the film often achieves a mesmerizing poetry .	1			
" -rb- wendigo is -rrb- why we go to the cinema : to be fe through the eye , the heart , the mind . "	0	"1,14"		
i watched the brainless insanity of no such thing with mounting disbelief .	0			
" the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun . "	0			
" led by grffin 's smartly nuanced performance and enthusiasm , the cast has a lot of fun with the material . "	0	3		
a modest pleasure that accomplishe its goals with ease and confidence .	1	4		
but it ofers plenty to ponder and cew on as its unusual relationship slowly unfolds .	1	"2,7"		
" might have been better off as a documentary , with less of m. eyre 's uninspired dramatics and more of his sense of observation and outrage . "	0	13		
" the film is exhilarating to watch because sandler , liberated from the constrants of fomula , reveals unexpected depths as an actor . "	1	"13,15"		
i do n't think i 've been as entranced and appalled by an aian fil since shina tsukamoto 's iron man .	1	"13,14,16"		
demands too mch of most viewers .	0	2		
imagine the james woods character from videodrome making a home movie of audrey rose and showing it to the kid from the sixth sense and you 've imagined the ring .	1			
quite funny for the type of moie it is ...	1	6		
the only hing in auline and paulette that you have n't seen before is a scene featuring a football field-sized oriental rug crafted out of millions of vibrant flowers .	1	"2,4"		
fisher has bared his sol and confronted his own shortcomings here in a way ... that feels very human and very true to life .	0	4		
but he loses his focus when he concentrates on any single person .	0			
watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .	0			
" longley has constructd a remarkably coherent , horifically vivid snapshot of those turbulent days . "	1	"3,8"		
worth the effort to watch .	0			
" by presenting an impossible romance in an impossible world , pumpkin dare us to say why either is impossible -- which forces us to cnfront what 's possible and what we migt do to make it so . "	1	"12,25,32"		
any movie this boring should be required to have ushers in the theater that hand you a cup of coffee every few minutes .	0			
" emerges as something rae , an issue movi that 's so honest and keenly observed that it does n't feel like one . "	0	"4,8"		
much monkeyfun for all .	1			
" none of these characters resemble anyone you ve ever me in real ife , unless you happen to know annoyingly self-involved people who speak in glib sentences that could have only ome from the pen of a screenwriter . "	0	"5,8,10,13,32"		
" often gruelling and heartbraking to witness , but seldahl and wollter 's serling peformances raise this fr above the level of the usual maudlin disease movie . "	1	"4,13,14,17"		
" a work of intricte elegace , literary lyricism and profound cmmon sense . "	1	"4,5,11"		
" an exciting and nvolving rock music doc , a smart and satisfying look inside that tumultuous world . "	1	4		
" meandering , sub-aquatic mess : it 's so bad it 's good , but only if you slide in on a freebie . "	1			
" a trahy , exploitative , thoroughly unpleasant experience . "	1	2		
" the overall feel of the film is pretty cheesy , but there 's still a eal sense that the star trek tradition has been honored as best it can , iven the embarrassing scrpt and weak direction . "	1	"16,31,34"		
" one of the best examples of how to treat a subject , you 'e not fully aware is being exained , much like a photo of yourself you did n't know was being taken . "	0	"14,20"		
it ight as wel have been problem cild iv .	0	"1,3,7"		
it will delight necomers to the story and those who know it from bygone days .	1	3		
even the unwtchable soapdish is more original .	0	2		
" the film take too long getting to the good stuff , then tkes too long figuring out what to do next . "	1	"3,13"		
it ook 19 predeessors to get this ?	0	"1,3"		
" shot perhaps ` artistically ' with handheld cameras and aparently no movie lights by joaquin baca-asay , the low-budget production swings annoyingly between vertigo and opacity . "	0	10		
" the low-budget full frontal was one of the year 's murkiest , intntionally obscure and self-indulent picures , and solaris is its big-budget brother . "	0	"13,16,17"		
that rara vis : the intelligent romantic comedy with actual ideas on its mind .	0	2		
ranks amon willams ' best screen work .	1	1		
" stars off with a bang , but then fizzles like a wet stick of dyamite at the very end . "	0	"1,15"		
" almst every scene in this film is a gem that culd stand alone , a perfectl realized observation of mood , behavior and intent . "	1	"1,11,16"		
it 's a refreshing change from the self-interest and paranoia that shape most american representations of castro .	0			
" the film makes a tragic error by going on for too long , trying to mirror every subsequent event in chinese history : war , evolution , communism , etc . . "	1	26		
" this concoction , so bizarre to the adult mind , is actully a charming triumph where its intended under-12 audience is concerned . "	0	12		
never -lrb- sinks -rr- into exploitation .	1	3		
" the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business . "	0			
" it 's amazingly perceptive in its subte , spportive but unsentimental look at the marks family . "	1	"7,9"		
" if this is satire , it 's the smug and self-congratulatory kind that lets the audience completely off the hook . "	0			
" compellin as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder . "	1	1		
... the last time i saw a theater full of people constantly checkig their watches was during my sats .	0	12		
" an incendiary , deeply thought-provoking look at on of the most peculiar -lrb and peculiarly venomous -rrb- bigotries in our increasingly frightening theocracy "	1	"8,13"		
" theology aside , why put someone who ultimately does n't learn at the cnter of a kds ' story ? "	0	"14,17"		
the timing in nearly every scene seems a hlf beat off .	1	8		
ethan hawke has always fancied himself the bastar child of the beatnik generation and it 's all over his chelsea walls .	0	7		
" this is a raw and disturbing tale that took five years to make , and the rio 's absorbing narrative is a heart-wrenching howcase indeed . "	0	"17,24"		
" ru , do n't walk , to see this barbed and bracing comedy on the big screen . "	0	1		
flccid drama and exasperatingly slow journey .	0	0		
oo 's ights have a distinct flair .	1	"0,2"		
" still , i 'm not quite sure what the point is ... "	0			
a very funny look at how another culture handles the process of courting and marriage .	0			
" as green-guts monster movies go , it 's a beaut . "	1			
" elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the oes that vex nearly everyone . "	1	28		
" a breezy , diverting , conventional , well-acted tle of two men locked in an ongoing game of cat-and-cat . "	0	9		
a historical eic with the courage of its convictions about both scope and detail .	1	2		
" ... just a big ess of a ovie , full of images and events , but no tension or surprise . "	0	"5,8"		
" we can see the whees turnin , and we might resent it sometimes , but this is still a nic little picture , made by bright and friendly souls with a lo of good cheer . "	1	"5,6,20,32"		
" but watching huppert , a gret actress tearing into a landmark role , is riveting . "	1	6		
the plot is so predictable and sentimental that viewers are likel to lose interst before sandrine and her goas wak off into the sunset .	1	"10,13,18,19"		
a clever blend of fact and fiction .	1			
" what could have become just another cautionary fable is allowed to play out as a clever , charming tale -- as peasantly in its own way as its self-dramatizing chracters . "	1	"22,30"		
" from spiritual rebith to bruisig defet , vincent 's odyssey resonates in a profound wa , comparable to the classic films of jean renoir . "	1	"3,5,6,15"		
" the overall effect is so completely nane that one would have to be mighy bored to even think of staying with this for more than , say , ten ... make that three minutes . "	1	"7,14"		
" an often-deadly boring , strange reading of a classic whose wtty dialogue is treated with a baffling casual approach "	1	11		
" this is a film well worth seeing , talking and singing heads and all . "	0			
" call me a wimp , but i cied , not once , but three times in this animated sweet film . "	0	8		
" the cold and dreary weather is a perfect metaphor for the movie itself , which contans few lughs and not much drama . "	1	"16,18"		
" the writers , director wally wolodarsky , and all the actors should start their own coeducational fraternity : kappa rho alpha phi . "	0			
" the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants ' so to be one of us ay be the most tuneless tne ever cmposed . "	0	"25,30,32"		
... always remains movingly genuine .	1			
" ellig really is about a couple of crazy guys , and it 's therapeutic to laugh along with them . "	1	1		
" the film 's 45-minute running time stops shy of overkill , thouh viewer may be more exhausted than the ahletes oncreen . "	1	"12,13,20,21"		
you can practically smell the patchouli il .	1	6		
" in his debut as a film director , denzel washington delivers a lean and engaging work . "	1			
" with generic sets and b-grade special effects , jason is about as convincing on the sci-fi front as tv 's defunct cleopatra 2525 . "	0			
two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .	0			
" this film was made to get laughs from the slowest person in the audience -- just pure slapstick with lots of inane , inoffensive screaming and exagerated acial expressions . "	1	"27,28"		
" while not all transitions to adulthood are so fraught , there 's much truth and no smal amount of poetry in girls ca n't swim . "	1	17		
" the comic prformances are all spot on , especially ee ross 's turn as ke . "	0	"3,10,15"		
" roger michell , who did an apealing job direting persuasion and notting hill in englnd , gets too artsy in his american debut . "	1	"7,9,15"		
" on of the greatest family-oriented , fantasy-adventure movies eve . "	1	"1,9"		
" if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychologial horror , this is your ticket . "	0	20		
" as if to prove a emale directr can make a movie with no soft edgs , kathryn bigelow ofers no sugar-coating or interludes of lightness . "	1	"6,7,15,19"		
" too much of this well-acted but dangeously slow thriller fels like a preamble to a bigger , more complicated story , one that ever materializes . "	0	"7,10,24"		
a captivating cross-cultural comedy of manners .	1			
but the characters tend to be cliches whose lives are neer fuly explored .	0	"10,11"		
what really surprises about wisegirls is its low-key quality and genuine tendrness .	0	11		
the sad thing about knockaround guys is its lame aspiration for grasping the coolness vibes when in act the film is n't as flippant or slic as it thinks it is .	1	"17,25"		
if high crimes were any more generic it would have a universal product code instead of a tile .	1	17		
" muh of the way , though , this is a refreshingly novel ride . "	0	1		
" if nothing else , this movie introduces a promising , unuual kin of psychological hrror . "	1	"11,12,15"		
" one of those rar , exhilarating cinematic elights that gets eve better in hindsight , as you mll over its every nuance in your min . "	1	"4,8,11,18,25"		
" unfortunately , heartbrak hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wi . "	0	"3,31"		
" matthew mcconaughey tries , and fils , to control the scren with swaggering machismo and over-the-top lunacy . "	1	"6,11"		
" complex , affcting and uniquely almodóvar , the film evokes strong emotions and pushes viewers to quetion their deepest notions of morl right and wron . "	0	"3,17,22,25"		
effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbig experience .	1	18		
" fortunately for all involved , this movie is likely to disappear as quckly as an ice cube thrown into a pot of boiling water . "	0	13		
" if you 'r looking for comedy to be served up , better look elsewhere . "	0	3		
the whole thng plays out with the drowsy heaviness of sychronized swimmer wearing a wool wetsuit .	0	"2,10"		
it 's as clse as we 'll ever come to looking through a photographer 's viewfinder as he works .	1	3		
" by the end of no such thing the audience , like beatrice , has a watchful affection for the monster . "	0			
if you 're not the target dmographic ... this movie is one long chick-flick slog .	0	6		
" though howard demonstates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narative and enough flashbacks and heavy-handed metapors to choke a horse -- or at least slow him down to a canter . "	0	"3,24,30"		
" birot is a competent enough filmmaker , but her story has nothing fresh or very exciting about it . "	1			
the picture is a primer on what happens when lack of know-how ixes with lack of give-a-damn .	1	12		
" -lrb- i -rrb- f you 'v been to more than oe idie flick in your life , chances are you 've lready seen this kind of thing . "	1	"6,11,12,22"		
it is intensely personal and yet -- unlik quills -- deftly shows us the temper of the times .	1	7		
" a real story about real people living their lives concerned about the future of an elderly , mentally handicapped famil member . "	0	20		
he has not learnt that storytelling is what the movies are about .	1			
" writhing under dialogue like ` you 're from two different worlds ' and ` tonight the maid is a lie and this , this is who you are , ' this schlock-filled fairy tale hits ew depths of unoriginality and predictability . "	0	36		
the story drifts so inexorably into cliches about tortured -lrb- and torturing -rrb- artists and consuming but impossible love that you ca n't help but become more disappointed as each overwrought new sequence plods on .	0			
there 's nothing provoative about this film save for the ways in which it studiously avoids provoking thought .	0	3		
this is a very fine movie -- go see it .	1			
" there are tims when a rumor of ngels plays like an extended episode of touched by an angel -- a little too much dancing , a few too many weeping scenes -- but i liked its heart and its spirit . "	0	"3,8"		
an intermittently pleasing but mostly routne effort .	0	5		
" uncertain in tone .. a garbled exercise in sexual politics , a junior varsity short cuts by way of very bad thigs . "	0	"4,22"		
" expect to be reminded of other , better films , especially seven , which director william maloe slavishy copies . "	1	"17,18"		
the centrl story lacks punch .	0	1		
" a dreary , inoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on innely for two hours ... a cacophony of pretentious , meaninless prattle . "	0	"4,20,30"		
" a tiumph of art direction over narrative , but what art direction ! "	1	2		
" atz uses archival footage , horrifying documents of lynchings , still photographs and charming ol reel-to-reel recordings of meeropl entertaining his children to create his song history , but most powerful of all is the song itself "	1	"1,15,19"		
" the best thing the film does is to show us not only what that mind looks like , but how the creative process itself opertes . "	1	25		
flaunts its quirky excesses like a ne year 's eve drunk sporting a paper party hat .	1	6		
" roman coppola may never become the fimmaker his dad was , but heck -- few filmmakers will . "	0	7		
" enough trivilizes an important crisis , reduces it to an almost comic embarrassment . "	0	2		
it would be hard to hink of a recent movie that has worked this hard to achiev this little fun .	0	"5,16"		
" a teasing draa whose relentless good-deed\/ad-deed reversals are just interestin enough to make a sinne like me pray for an even more interesting , ess symmetrical , less obviously cross-shaped creaion . "	0	"3,6,10,15,25,31"		
the experience of watching blobby old-schol cgi animation in this superlarge fomat is just surreal enough to be iverting .	1	"5,11,18"		
" bartleby is a one-joe movie , and a bad joke at that . "	1	4		
" nevy and sensitive , it taps into genuin artistic befuddlement , and at the same time presents a scathing indictment of what drives holywood . "	1	"1,8,24"		
the movie is oe of the best examples of artful large formt filmmaking you are lkely to see anytme soon .	1	"3,11,15,18"		
ford deserves to be remebered at osca time for crafting this wondrful portrait of a conflicted soldier .	0	"4,6,11"		
a pleasant enugh comedy that should have found a summer place .	1	2		
" had anyone here one anything remotely intellignt , we all could have stopped watching long ago . "	1	"4,7"		
westfeld and juergensen exude a chemistry and comfort level that 's both aucy and endearing .	1	"0,12"		
" now it 's a bad , embarrassing movie . "	1			
" it almot plays like solaris , but with guns and jokes . "	0	2		
the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .	1			
" if there 's a way to effectively teach kids about the dangers of drugs , i think it 's in projects lke the -lrb- unfortunately r-rated -rrb- paid . "	0	22		
" it 's endearing to hear madame d. refer to her husband as ` jackie ' -- and he does make for excellent company , not least as a self-conscious performer . "	1			
a quietly reflective and melancholy new zealand film about an eventful summer in a 13-year-old girl 's life .	0			
" this film looks like it was produced in 1954 , shelved for 48 years , and repackaged for a 2002 audience . "	1			
it 's just incredibly dull .	1			
has the feel of an unedited personal journal .	0			
this is one for the ages .	1			
" lik dickens with his passages , mcgrath craft qute moving scenes throughout his resolutely dramatic variation on the novel . "	1	"1,8,9"		
" as expected , ayles ' smrt wordplay and cever plot contrivances are as sharp as ever , tough they may be overshadowed by some stron performances . "	1	"4,6,9,18,25"		
" based on a david leavitt story , the film shares that writer 's usual blend of observant cleveress , too-facile coincidence and slightly noious preciousness . "	1	"18,24"		
" everytime you think undercover brother has rn out of steam , it finds a new way to surprise and amuse . "	0	7		
a savvy exploration of paranoia and insecurity in america 's culture of fear .	0			
" if you love motown music , you 'll ove this docuentary . "	1	"9,11"		
" as the story moves inexorably through its sevn day timeframe , the picture becomes increasingly mesmerizing . "	0	8		
" there are slow and repetitive pats , but it has just enough spice to kep it interesting . "	1	"6,15"		
" the fim is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are . "	1	2		
a film so tedious that it is impossible to care whether that bast is true or not .	1	12		
i tried to read the time on my watch .	0			
" ostensibly celebrates middle-aged gir power , even as it presnts friendship between women as pathetic , dysfuctional and destructive . "	1	"4,10,17"		
" suffers from rambling , repetitiv dialogue and the visal drabness endemic to digital video . "	0	"5,9"		
offers that rare combination of entertainment and education .	0			
" majidi 's poetic love tory is a ravishing consciousness-raiser , if a bit draggy at times . "	1	5		
" the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure . "	1			
" shamelessly sappy and , worse , runs away from its own provocative heme . "	0	13		
an neven but intriguing drama that is part homage and part remak of the italian mastrpiece .	1	"1,11,15"		
" it smacks of purely commercial motivation , with no great lve for the original . "	1	11		
an overstufed compendum of teen-catholic-movie dogma .	1	"1,2"		
" this is what imax was mae for : strap on a pir of 3-d goggles , shut out the rel world , and take a vicarious voyage to the lat frontier -- space . "	0	"6,12,20,30"		
francophiles will snicker knowingly and you 'll want to slap them .	0			
" sets up a nice concept for its fiftysomething leding ladies , but fails loudly in execution . "	0	9		
" if this dud had been made in the '70s , it would have been called the hill have antlers and played for about three weeks in drive-ins . "	1	17		
dolgin and ranco fashion a fascinating portrait of a vietnamese-born youngster who eagerly and easily assimilated as an all-american girl with a brand new name in southern tennesee .	1	"2,27"		
" flashy , pretentious and as impenetrable as morvern 's thick , working-class scottish accent . "	0			
" my oh my , is this an invigorating , electri movie . "	0	10		
" a film made with as little wit , interest , and professionalism as artistically possible for a slmmy hollywood caper flick . "	0	18		
" liman , of swingers and go , make his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling ca chase . "	1	"8,31"		
a pleasant romntic comedy .	1	2		
" it 's a pleasure to see seinfeld griping about the iz with buddies chris rock , garry shandling and colin quinn . "	1	11		
stay lear of reminding yourself that it 's a `` true story `` and you 're liely to have one hlluva time at the movies .	0	"1,16,20"		
this is a film brimmng with detail and nuance and one that speaks volumes about the ablity of the human spirit to find solace in events that could easily crush it forever .	1	"4,16"		
" a lighthearted , feel-good film that embraces the time-honored truth that the most powerful thing in life is love . "	0			
" moton is , as usual , brilliant . "	0	1		
" sorry , charlie "	1			
" the principals in this cast are all fine , but bishop and stevenson are standouts . "	1			
" it 's traditional moviemaking all the way , but it 's dne with a ot of careful period attention as well as some very elcome wit . "	1	"12,15,25"		
" i do n't know precisely what to make of steven soderbergh 's full frontal , hough that did n't sop me from enjoying muh of it . "	1	"16,20,24"		
undercover brother does n't go far nough .	0	6		
" this self-infatuated goofball is far from the only thing wrong with the clumsy comedy sealing harvard , but he 's the most obvious ne . "	0	"15,24"		
" this is n't a narative film -- i do n't know if it 's possible to mak a narrative film about september 11th , thogh i 'm sure some will try -- but it 's as close as anyone has dared to come . "	1	"5,17,25"		
" that zhang would make such a strainingly cute film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered . "	0			
the bourne identity is what summer screen escapim used to be in the decades when it was geared more to grownups .	0	7		
... has virtually no script at all ...	0			
" a boring , formulaic mix of serial killers and stalk 'n ' slash . "	0			
haneke challenges us to confront the reality of sexual aberration .	1			
" tough the controversial korean filmmakr 's latest effort is not for all tastes , it offers gorgeous magery , effective performances , and an increaingly unsettling ense of foreoding . "	1	"1,5,18,25,27,29"		
" scarlet diva has a voyeuristic tu , but all in all it 's a lot less sensational than it wats to be . "	1	"6,20"		
" -lrb- a -rrb- rare , beautiful film . "	0			
adonna still ca n't act a lick .	1	0		
it will come as no surprise that the movie is n't scary .	1			
you 've seen them a million times .	1			
" even when foreign directors ... borrow stuff from hollywood , they invariably hake up the formula and make it more interesting . "	1	13		
" .. too slo , too boring , and occasionally annoying . "	0	"1,3"		
despite some gulps the film is a fuzzy huggy .	0			
" technically , the film is about as interesting as an insurance commercial . "	1			
" guided more by intellect than heart , his story flattens intead of sharpens . "	0	11		
a compelling journey ... and `` his best friend remembers `` is up there with the finest of specils .	0	18		
" no , it 's not nearly as good as any of its influenes . "	1	13		
" i like frnk the pug , though . "	0	3		
it 's a worthwhile tutorial in quntum phyics and slash-dash	1	"6,7"		
" still , i thought it could have been more . "	0			
an enchating film that presents an audacious tour of the past and tkes within its warm embrae the bounties of cultural artifacts nside t. petersburg 's heritage musum .	1	"1,12,16,22,23,26,27"		
" we need -lrb- moore 's -rrb- noisy , cocky energy , his passion and class consciousness ; we need his shticks , we need his stones . "	1			
anyone who can count to five -lrb- the film 's target market ? -rrb-	0			
" as are its star , its attitude and its obliviousness . "	0			
" home alone goe hollywood , a funny premise until the kds start pulling off stuts not even teven spielberg would know how to do . "	1	"3,11,15,18"		
" it 's not so much enjoyable to watch as it is enlightening to listen to new sides of a revious reaity , and to visit with some of the people who were able to ake an impact in the theater world . "	1	"20,21,35"		
" blessed with immense physical prowess he ma well be , but ahola is simply not an actor . "	1	7		
" more onest about alzheimer 's disease , i think , than iris . "	1	2		
i loved looking at this movie .	1			
" it 's a sly wink to the others withut becoming a postmodern joke , mde creepy by its `` men in a sardine can `` warpd logic . "	0	"9,15,26"		
a real clunker .	1			
" once the audience figure out what 's being aid , the filmmaker 's relative passivity will make it tough for them to really care . "	0	9		
